"crop_id","source_path","seed_item","seed_kg","seed_market_value","harvest_item","yield_units","harvest_kg","harvest_market_value","growth_hours","sow_wu","harvest_wu","direct_wu","daily_water_kg","cycle_water_kg","indoor_allowed","temperature_range","required_research","final_value_source","static_status"
"crop:bloodleaf","Assets/Resources/SO/Economy/Crops/crop_bloodleaf.asset","seed-lot:bloodleaf","0.05","3","resource:bloodleaf","4","0.4","12","46","4","7","11","0.35","0.6708","1","{x: 8, y: 30}","research:pharmacology:herbalism","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:cave-mushroom","Assets/Resources/SO/Economy/Crops/crop_cave_mushroom.asset","seed-lot:cave-mushroom","0.05","3","resource:cave-mushroom","5","1.25","10","28","3","5","8","0.2","0.2333","1","{x: 3, y: 26}","research:agriculture:gathering","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:dreamleaf","Assets/Resources/SO/Economy/Crops/crop_dreamleaf.asset","seed-lot:dreamleaf","0.05","3","resource:dreamleaf","4","0.32","16","52","5","8","13","0.3","0.65","1","{x: 6, y: 26}","research:pharmacology:anesthesia","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:ember-cotton","Assets/Resources/SO/Economy/Crops/V22Textiles/crop_ember-cotton.asset","seed-lot:ember-cotton","0.02","4","fiber:ember-cotton","6","0.48","18","92","4","7","11","0.4","1.5333","1","{x: 14, y: 42}","research:textile:fiber","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:ember-root","Assets/Resources/SO/Economy/Crops/crop_ember_root.asset","seed-lot:ember-root","0.05","3","resource:ember-root","5","2.25","15","42","4","7","11","0.25","0.4375","1","{x: 2, y: 28}","research:agriculture:field","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:frost-flax","Assets/Resources/SO/Economy/Crops/V22Textiles/crop_frost-flax.asset","seed-lot:frost-flax","0.02","4","fiber:frost-flax","6","0.48","18","84","4","7","11","0.35","1.225","1","{x: -8, y: 20}","research:textile:fiber","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:mire-reed","Assets/Resources/SO/Economy/Crops/V22Textiles/crop_mire-reed.asset","seed-lot:mire-reed","0.02","4","fiber:mire-reed","6","0.48","18","100","4","7","11","0.45","1.875","1","{x: 8, y: 34}","research:textile:fiber","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:moonflower","Assets/Resources/SO/Economy/Crops/crop_moonflower.asset","seed-lot:moonflower","0.05","3","resource:moonflower","3","0.24","15","60","5","9","14","0.4","1.0","1","{x: 5, y: 24}","research:pharmacology:herbalism","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:night-grape","Assets/Resources/SO/Economy/Crops/crop_night_grape.asset","seed-lot:night-grape","0.05","3","resource:night-grape","5","1.25","15","54","5","8","13","0.5","1.125","1","{x: 8, y: 32}","research:agriculture:irrigation","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:shade-fiber","Assets/Resources/SO/Economy/Crops/crop_shade_fiber.asset","seed-lot:shade-fiber","0.05","3","resource:shade-fiber","6","0.72","12","40","4","7","11","0.3","0.5","1","{x: 5, y: 30}","research:textile:fiber","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:spore-hemp","Assets/Resources/SO/Economy/Crops/V22Textiles/crop_spore-hemp.asset","seed-lot:spore-hemp","0.02","4","fiber:spore-hemp","6","0.48","18","108","4","7","11","0.5","2.25","1","{x: 6, y: 30}","research:textile:fiber","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
"crop:twilight-grain","Assets/Resources/SO/Economy/Crops/crop_twilight_grain.asset","seed-lot:twilight-grain","0.05","3","resource:twilight-grain","6","2.1","12","36","3","6","9","0.35","0.525","1","{x: 4, y: 30}","research:agriculture:field","serialized CropDefinitionSO asset + item-numeric-ledger.csv","locked"
