"recipe_id","flow_role","solid_inputs","outputs","direct_wu","processing_hours","clean_water_kg","wastewater_kg","expected_output_units","output_mass_g","output_market_gold","transform_residual_g","final_value_source","throughput_formula","price_formula","static_status"
"recipe:advanced-medicine","Transform","medicine:standard×1 | resource:mana-crystal×1 | resource:moonflower×2 | resource:milk×1","medicine:advanced×1@1","30","0","0","0","1","1500","235","110","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:alcohol","Transform","material:fermented-liquor×2","material:alcohol×2@1","38","0","0","0","2","1000","44","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:armor-piercing-cartridge","Transform","material:lead-shot×4 | material:granulated-powder×1 | material:cartridge-paper×1","ammo:armor-piercing-cartridge×6@1","106","0","0","0","6","1650","96","125","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:blacksteel-bolt","Transform","material:blacksteel-ingot×1 | material:laminated-lumber×1","ammo:blacksteel-bolt×6@1","152","0","0","0","6","900","714","1700","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:blasting-charge","Transform","material:black-powder×2 | material:paper×1 | material:rope×1","ammo:blasting-charge×2@1","52","0","0","0","2","5800","64","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:incendiary-arrow","Transform","ammo:arrow-steel×6 | material:granulated-powder×1","ammo:incendiary-arrow×6@1","98","0","0","0","6","900","156","460","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:incendiary-bolt","Transform","ammo:bolt-steel×6 | material:granulated-powder×1","ammo:incendiary-bolt×6@1","98","0","0","0","6","900","156","580","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:mana-disruptor-bolt","Transform","ammo:bolt-steel×6 | material:mana-alloy×1","ammo:mana-disruptor-bolt×6@1","100","0","0","0","6","900","378","2130","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:paper-cartridge","Transform","material:lead-shot×6 | material:black-powder×1 | material:paper×1","ammo:paper-cartridge×12@1","168","0","0","0","12","3600","132","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:rune-cartridge","Transform","material:mana-alloy×1 | material:granulated-powder×1 | material:cartridge-paper×1","ammo:rune-cartridge×6@1","136","0","0","0","6","3450","318","125","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:scatter-cartridge","Transform","material:lead-shot×6 | material:granulated-powder×1 | material:cartridge-paper×1","ammo:scatter-cartridge×6@1","106","0","0","0","6","1950","114","125","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:signal-flare","Transform","material:granulated-powder×1 | material:cartridge-paper×1 | resource:rune-dust×1","ammo:signal-flare×4@1","82","0","0","0","4","1100","72","125","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:smoke-cartridge","Transform","material:granulated-powder×1 | material:cartridge-paper×1","ammo:smoke-cartridge×6@1","98","0","0","0","6","1050","66","125","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:tranquilizer-dart","Transform","medicine:standard×1 | material:paper×1","ammo:tranquilizer-dart×6@1","98","0","0","0","6","900","84","300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ammo:trap-canister","Transform","material:lead-shot×6 | material:black-powder×1 | material:paper×1","ammo:trap-canister×2@1","54","0","0","0","2","3800","88","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:anesthetic","Transform","resource:dreamleaf×2 | material:alcohol×1 | container:medical-vial×1","medicine:anesthetic×1@1","28","0","0","0","1","120","46","570","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:antidote","Transform","resource:bloodleaf×1 | resource:cave-mushroom×1 | material:alchemical-solvent×1","medicine:antidote×1@1","26","0","0","0","1","600","56","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:antiseptic","Transform","resource:bloodleaf×1 | resource:saltstone×1","medicine:antiseptic×2@1","46","0","0","0","2","560","30","40","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:arrow-bone","Transform","material:lumber×1 | resource:bone×1 | resource:feather×1","ammo:arrow-bone×10@1","98","0","0","0","10","800","50","850","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:arrow-iron","Transform","material:lumber×1 | material:iron-ingot×1 | resource:feather×1","ammo:arrow-iron×10@1","102","0","0","0","10","900","90","1250","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:arrow-rune","Transform","material:treated-lumber×1 | resource:horn×1 | resource:mana-crystal×1","ammo:arrow-rune×8@1","154","0","0","0","8","640","264","1310","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:arrow-steel","Transform","material:lumber×1 | material:steel-ingot×1 | resource:feather×1","ammo:arrow-steel×10@1","102","0","0","0","10","850","170","1250","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bedding-animal","Transform","resource:wool×1 | resource:feather×2 | resource:hide×1","husbandry:bedding×2@1","24","0","0","0","2","1000","14","350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bedding-straw","Transform","resource:grass-straw×10 | resource:shade-fiber×2","husbandry:bedding×2@1","20","0","0","0","2","1000","14","40","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:blacksteel","Transform","material:steel-ingot×2 | resource:mana-crystal×2 | material:charcoal×1","material:blacksteel-ingot×1@1","40","0","0","0","1","1000","609","1850","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:blood-stimulant","Transform","resource:bloodleaf×2 | resource:blood×1 | material:alchemical-solvent×1","drug:blood-stimulant×1@1","26","0","0","0","1","900","59","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:boar-stew","Transform","resource:meat×2 | resource:ember-root×1 | resource:fat×1","food:boar-stew×2@1","42","0","0.25","0.2","2","1700","26","650","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bolt-bone","Transform","material:lumber×1 | resource:bone×1 | resource:fang×1","ammo:bolt-bone×10@1","100","0","0","0","10","1000","60","750","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bolt-iron","Transform","material:lumber×1 | material:iron-ingot×1 | resource:fang×1","ammo:bolt-iron×10@1","102","0","0","0","10","1100","100","1150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bolt-rune","Transform","material:treated-lumber×1 | resource:horn×1 | resource:mana-crystal×1","ammo:bolt-rune×8@1","154","0","0","0","8","800","264","1150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bolt-steel","Transform","material:lumber×1 | material:steel-ingot×1 | resource:fang×1","ammo:bolt-steel×10@1","102","0","0","0","10","1050","170","1150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bone-charm","Transform","resource:bone×2 | resource:horn×1 | resource:fang×1","craft:bone-charm×1@1","32","0","0","0","1","200","24","1200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:book:seasonal-almanac","Transform","material:paper×2 | material:charcoal×1","book:seasonal-almanac×2@1","46","0","0","0","2","2200","44","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bowstring-fiber","Transform","resource:shade-fiber×2","material:bowstring×1@1","10","0","0","0","1","80","9","160","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:bowstring-sinew","Transform","resource:horn×1 | resource:hide×1","material:bowstring×1@1","14","0","0","0","1","80","9","1270","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:brined-vegetable","Transform","material:washed-vegetable×2 | resource:saltstone×1","material:brined-vegetable×2@1","34","0","0.7","1","2","1000","40","100","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:candle","Transform","material:tallow×1 | resource:shade-fiber×1","craft:candle×2@1","46","0","0","0","2","400","32","70","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:charcoal","Transform","resource:log×3","material:charcoal×2@1","16","0","0","0","2","900","14","4500","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:cheese","Transform","material:curd×2","material:cheese×2@1","36","16","0","0","2","800","42","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:cheese-mushroom","Transform","material:cheese×1 | resource:cave-mushroom×2","food:cheese-mushroom×2@1","18","0","0","0","2","900","34","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:cloth","Transform","resource:shade-fiber×4","material:cloth×2@1","16","0","0","0","2","400","12","80","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:cold-work-suit","Transform","material:cloth×2 | material:leather×2","equipment:cold-work-suit×1@1","14","0","0","0","1","900","25","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:blacksteel-defense-plate","Transform","material:blacksteel-ingot×2 | component:engineering-drawing×1","component:blacksteel-defense-plate×1@1","20","0","0","0","1","2350","653","550","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:blast-coat-shell","Transform","textile:sterile-cloth×1 | textile:quilted-liner×1","component:blast-coat-shell×1@1","16","0","0","0","1","1150","46","800","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:brigandine-padding","Transform","textile:quilted-liner×1 | material:leather×1","component:brigandine-padding×1@1","16","0","0","0","1","1150","40","250","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:climate-control-manifold","Transform","component:machine-parts×1 | textile:insulating-cloth×1","component:climate-control-manifold×1@1","46","0","0","0","1","2350","130","700","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:corridor-detonator","Transform","material:spring-steel×1 | material:granulated-powder×1","component:corridor-detonator×1@1","32","0","0","0","1","2350","161","650","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:dreamweave-rune-lining","Transform","material:dreamweave×1 | component:rune-conductor×1","component:dreamweave-rune-lining×1@1","18","0","0","0","1","1350","378","1170","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:engineering-drawing","Transform","material:paper×2 | material:charcoal×1","component:engineering-drawing×2@1","46","0","0","0","2","1800","44","450","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:factory-installation-plan","Transform","component:engineering-drawing×1 | material:paper×1 | component:paper-paste×1","component:factory-installation-plan×1@1","32","0","0","0","1","1150","59","1750","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:golem-core-case","Transform","material:sterile-composite×1 | component:rune-conductor×1","component:golem-core-case×1@1","34","0","0","0","1","2550","476","1050","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:growth-frame","Transform","material:steel-ingot×2 | component:machine-parts×1 | component:precision-parts×1 | material:treated-lumber×1","component:growth-frame×1@1","40","0","0","0","1","3050","654","4050","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:insulated-wiring","Transform","material:gold-ingot×2 | textile:insulating-cloth×3","component:insulated-wiring×2@1","72","0","0","0","2","5000","186","550","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:lead-counterweight","Transform","material:lead-ingot×2","component:lead-counterweight×1@1","18","0","0","0","1","2100","58","2200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:machine-parts","Transform","material:iron-ingot×3","component:machine-parts×1@1","18","0","0","0","1","2100","91","600","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:mana-shield-plate","Transform","material:lead-ingot×1 | resource:rune-dust×1 | resource:mana-crystal×1","component:mana-shield-plate×1@1","32","0","0","0","1","2350","52","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:material-test-coupon","Transform","material:steel-ingot×1 | material:plate-blank×2","component:material-test-coupon×2@1","48","0","0","0","2","4700","264","350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:paper-paste","Transform","material:starch×1 | resource:clean-water×4","component:paper-paste×2@1","44","0","0","0","2","2200","26","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:powered-armor-joint","Transform","material:blacksteel-ingot×1 | component:machine-parts×1","component:powered-armor-joint×1@1","20","0","0","0","1","2350","723","750","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:precision-optics","Transform","material:gold-ingot×1 | resource:mana-crystal×3","component:precision-optics×1@1","32","0","0","0","1","2350","327","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:precision-parts","Transform","material:steel-ingot×2 | material:iron-ingot×1","component:precision-parts×1@1","32","0","0","0","1","2150","290","450","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:price-board","Transform","material:lumber×1 | material:paper×1","component:price-board×1@1","30","0","0","0","1","1800","27","300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:prototype-package","Transform","component:engineering-drawing×1 | component:machine-parts×1","component:prototype-package×1@1","32","0","0","0","1","1100","129","1900","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:reclaimed-water-filter","Transform","textile:sterile-cloth×2 | material:charcoal×1","component:reclaimed-water-filter×2@1","38","0","0","0","2","2300","40","150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:room-partition-kit","Transform","material:treated-lumber×2 | material:cloth×2","component:room-partition-kit×1@1","30","0","0","0","1","1950","54","750","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:rune-bus-coupler","Transform","component:rune-conductor×1 | material:gold-ingot×1","component:rune-bus-coupler×1@1","42","0","0","0","1","1200","509","2550","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:rune-conductor","Transform","material:gold-ingot×1 | resource:mana-crystal×3 | resource:rune-dust×1","component:rune-conductor×1@1","42","0","0","0","1","2400","345","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:rune-control-panel","Transform","component:rune-conductor×1 | component:precision-parts×1","component:rune-control-panel×1@1","42","0","0","0","1","1200","667","3350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:rune-leather-lining","Transform","material:rune-leather×2 | material:cloth×2 | resource:mana-crystal×1","component:rune-leather-lining×1@1","16","0","0","0","1","1350","234","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:rune-leather-strap","Transform","material:rune-leather×1 | component:rune-conductor×1","component:rune-leather-strap×1@1","34","0","0","0","1","1350","587","1450","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:rune-purification-crystal","Transform","material:mana-alloy×1 | resource:mana-crystal×1","component:rune-purification-crystal×1@1","42","0","0","0","1","1200","429","1550","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:rune-tuning-shield","Transform","component:mana-shield-plate×1 | component:rune-conductor×1","component:rune-tuning-shield×1@1","36","0","0","0","1","2550","421","2200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
