recipe_id,solid_inputs,solid_input_g,clean_water_kg,wastewater_kg,output_item_id,output_quantity,output_unit_kg,output_g,process_residual_g,direct_wu,processing_hours,unit_price,loss_kind,loss_reason,source_authority,canonical_asset_status,runtime_curve_status
recipe:bedding-straw,"resource:grass-straw×10, resource:shade-fiber×2",1040,0,0,husbandry:bedding,2,0.5,1000,40,20,0,7,FiberProcessingWaste,core-textile-carding-and-bedding-trim-waste,ResourceEconomyAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:cloth,resource:shade-fiber×4,480,0,0,material:cloth,2,0.2,400,80,16,0,6,FiberProcessingWaste,core-textile-carding-and-bedding-trim-waste,ResourceEconomyAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:garden-meal,"resource:twilight-grain×1, resource:ember-root×1, resource:cave-mushroom×1",1050,0.7,0.2,food:garden-meal,2,0.75,1500,50,42,0,12,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:grain-porridge,resource:twilight-grain×6,2100,1.7,0.1,food:grain-porridge,6,0.6,3600,100,28,0,4,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:herbal-poultice,"resource:moonflower×1, resource:shade-fiber×1",200,0.25,0,medicine:herbal-poultice,2,0.2,400,50,46,0,14,ExtractionResidue,herbal-poultice-infusion-and-fiber-preparation-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:moonflower-tea,resource:moonflower×1,80,0.55,0.1,drug:moonflower-tea,2,0.25,500,30,30,0,9,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:mushroom-soup,resource:cave-mushroom×2,500,0.95,0.1,food:mushroom-soup,2,0.65,1300,50,28,0,8,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:preserved-ration,"material:ration-mixture×2, material:starch×2",1600,0,0,food:preserved-ration,3,0.5,1500,100,26,0,15,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:roasted-meat,resource:meat×2,1400,0.15,0,food:roasted-meat,2,0.75,1500,50,20,0,6,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:root-stew,resource:ember-root×2,900,0.65,0.1,food:root-stew,2,0.7,1400,50,28,0,9,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:brined-vegetable,"material:washed-vegetable×2, resource:saltstone×1",1400,0.7,1,material:brined-vegetable,2,0.5,1000,100,34,0,20,MoistureEvaporation,food-preparation-moisture-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:curd,"resource:milk×3, resource:saltstone×1",2900,0.2,2.1,material:curd,2,0.45,900,100,32,0,13,ExtractionResidue,curdling-whey-separation-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:dough,"material:flour×2, resource:egg×1",850,0.3,0.1,material:dough,2,0.5,1000,50,34,0,14,MoistureEvaporation,food-preparation-moisture-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:expedition-ration-pack,"material:ration-mixture×1, material:salted-meat×1, material:starch×2",1700,0,0,food:expedition-ration-pack,2,0.75,1500,200,24,0,20,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:fermented-pickle,"material:brined-vegetable×2, craft:fermented-vinegar×1",1400,0.6,1,food:fermented-pickle,2,0.45,900,100,37,12,35,FermentationGasLoss,fermentation-gas-and-brine-release-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
recipe:salted-meat-stew,"material:salted-meat×1, resource:ember-root×1",1100,0.6,0,food:salted-meat-stew,2,0.8,1600,100,24,0,13,MoistureEvaporation,cooking-smoking-water-and-trimming-residue,ProductionWorkshopContentAssetBuilder,applied-static-verified,unity-and-economy-curve-pending
