"research_id","required_wu","maximum_researchers","prerequisite_count","required_facility_count","direct_unlock_count","first_activation_target_days","final_value_source","static_status"
"research:agriculture:compost","28","1","1","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:cultivar-breeding","546","1","2","3","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:field","28","1","1","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:gathering","17","1","0","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:greenhouse-horticulture","255","1","3","3","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:indoor","60","1","2","2","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:irrigation","42","1","1","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:phenology","268","1","1","3","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:soil-cycles","697","1","3","3","3","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:agriculture:subterranean","84","1","1","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:arcane:advanced","42","1","1","3","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:arcane:alchemy","28","1","1","3","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:arcane:records","17","1","0","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:arcane:resonance","60","1","2","3","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:authority:office","42","1","2","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:authority:prestige","28","1","1","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:authority:quarters","17","1","0","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:authority:ritual","60","1","1","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:bath-business","42","1","2","2","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:climate:environment-control","437","1","3","3","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:climate:regional-climatology","3819","1","3","4","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:climate:weather-observation","153","1","2","4","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:commerce:expansion","42","1","1","2","5","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:commerce:logistics","17","1","0","1","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:commerce:retail","28","1","1","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:commerce:secure-trade","60","1","2","2","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:control:blood-show","60","1","2","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:control:labor","28","1","1","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:control:restraints","17","1","0","1","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:control:show","42","1","2","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:cuisine:baking","60","1","1","2","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:cuisine:controlled-fermentation","84","1","2","2","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:cuisine:crops","17","1","0","1","2","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:cuisine:distilling-aging","115","1","2","3","1","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
"research:cuisine:fermentation","60","1","1","2","4","5–20 early | 20–60 middle | 60–180 late","serialized ResearchProject asset","serialized-authority"
