source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Content/CharacterAmbitionDefinitionSO.cs,content,Content,Content,runtime,,2,CharacterAmbitionCategory; CharacterAmbitionDefinitionSO,class; enum,runtime-support,,
Assets/Scripts/Content/CharacterBackgroundDefinitionSO.cs,content,Content,Content,runtime,,1,CharacterBackgroundDefinitionSO,class,runtime-support,,
Assets/Scripts/Content/CharacterTraitSO.cs,content,Content,Content,runtime,,6,CharacterTraitSelectionRarity; CharacterTraitPolarity; CharacterTraitSO; CharacterTraitBehaviorPreference; CharacterTraitMoodReaction; CharacterTraitEventWeight,class; enum,ai-decision; authored-definition; event-or-transaction,,
Assets/Scripts/Content/ClimateZoneDefinitionSO.cs,content,Content,Content,runtime,,1,ClimateZoneDefinitionSO,class,authored-definition,,
Assets/Scripts/Content/CoreSession/CoreSessionRulesDefinition.cs,content,Content,Content,runtime,DungeonStory.Content.CoreSession,8,ICoreSessionRulesProvider; CoreRehearsalRule; CoreExternalProblemBand; CoreServiceResearchRule; CoreRunPacingRules; CoreExternalInfluenceRules; CoreDebugAndServiceRules; CoreSessionRulesDefinition,class; interface,authored-definition; mutation-boundary-or-orchestration,,
Assets/Scripts/Content/CoreSession/CoreSessionRulesSO.cs,content,Content,Content,runtime,DungeonStory.Content.CoreSession,4,RehearsalRule; ExternalProblemBand; ServiceResearchRule; CoreSessionRulesSO,class,authored-definition; mutation-boundary-or-orchestration,,
Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs,content,Content,Content,runtime,DungeonStory.Content.CoreSession,6,DungeonRunFlowEventKind; DungeonRunFlowEvent; DungeonRunFlowEffectKind; DungeonRunFlowEffect; DungeonRunFlowTransition; DungeonRunFlowReducer,class; enum; struct,event-or-transaction,,
Assets/Scripts/Content/CoreSession/DungeonRunFlowRules.cs,content,Content,Content,runtime,DungeonStory.Content.CoreSession,1,DungeonRunFlowRules,class,runtime-support,,
Assets/Scripts/Content/CulturalPracticeDefinitionSO.cs,content,Content,Content,runtime,,2,CulturalPracticeKind; CulturalPracticeDefinitionSO,class; enum,runtime-support,,
Assets/Scripts/Content/DiseaseDefinitionSO.cs,content,Content,Content,runtime,,1,DiseaseDefinitionSO,class,authored-definition,revision-bound-cache,
Assets/Scripts/Content/DungeonAudioCue.cs,content,Content,Content,runtime,,1,DungeonAudioCue,enum,runtime-support,,
Assets/Scripts/Content/DungeonAudioLibrarySO.cs,content,Content,Content,runtime,,1,DungeonAudioLibrarySO,class,authored-definition,,
Assets/Scripts/Content/EndingDefinitionSO.cs,content,Content,Content,runtime,,2,RunMilestoneTier; EndingDefinitionSO,class; enum,runtime-support,,
Assets/Scripts/Content/FactionArcDefinitionSO.cs,content,Content,Content,runtime,,1,FactionArcDefinitionSO,class,runtime-support,,
Assets/Scripts/Content/FactionChapterDefinitionSO.cs,content,Content,Content,runtime,,2,FactionChapterKind; FactionChapterDefinitionSO,class; enum,runtime-support,,
Assets/Scripts/Content/FactionContractDefinitionSO.cs,content,Content,Content,runtime,,3,V20FactionContractKind; AuthoredFactionContractBalanceRules; FactionContractDefinitionSO,class; enum,runtime-support,,
Assets/Scripts/Content/GameContentCatalogSO.cs,content,Content,Content,runtime,,1,GameContentCatalogSO,class,authored-definition,hash-membership,
Assets/Scripts/Content/GameDomainContentCatalogSO.cs,content,Content,Content,runtime,,11,GameDomainContentCatalogSO; in; AuthoredMetaUpgradeRecord; AuthoredRunVariableRecord; AuthoredOwnerDoctrineRecord; AuthoredInvasionPatternRecord; AuthoredCharacterNeedRecord; AuthoredStockCategoryRecord; AuthoredBuildingCategoryRecord; AuthoredGameplayEffectKind; AuthoredGameplayEffectRecord,class; enum; record,ai-decision; authored-definition,hash-membership,
Assets/Scripts/Content/GameMediaCatalogSO.cs,content,Content,Content,runtime,,1,GameMediaCatalogSO,class,authored-definition,,
Assets/Scripts/Content/GuestRequestDefinitionSO.cs,content,Content,Content,runtime,,2,GuestRequestKind; GuestRequestDefinitionSO,class; enum,runtime-support,,
Assets/Scripts/Content/InGameNarrativeTextCatalogSO.cs,content,Content,Content,runtime,,5,InGameNarrativeTextKind; InGameNarrativeTextEntry; InGameNarrativeTextCatalogSO; IInGameNarrativeTextQuery; ResourceInGameNarrativeTextQuery,class; enum; interface,authored-definition; read-projection,dictionary-index; hash-membership,
Assets/Scripts/Content/LifeEventDefinitionSO.cs,content,Content,Content,runtime,,3,LifeEventCategory; LifeEventFrequencyRule; LifeEventDefinitionSO,class; enum,event-or-transaction,,
Assets/Scripts/Content/ProficiencyDefinitionSO.cs,content,Content,Content,runtime,,1,ProficiencyDefinitionSO,class,runtime-support,,
Assets/Scripts/Content/SeasonalWorldEventDefinitionSO.cs,content,Content,Content,runtime,,1,SeasonalWorldEventDefinitionSO,class,event-or-transaction,,
Assets/Scripts/Content/ServiceIncidentDefinitionSO.cs,content,Content,Content,runtime,,2,ServiceIncidentKind; ServiceIncidentDefinitionSO,class; enum,mutation-boundary-or-orchestration,,
Assets/Scripts/Content/SpeciesCultureDefinitionSO.cs,content,Content,Content,runtime,,2,CultureRoomPreferenceDefinition; SpeciesCultureDefinitionSO,class,runtime-support,,
Assets/Scripts/Content/TmpKoreanFontSettingsSO.cs,content,Content,Content,runtime,,1,TmpKoreanFontSettingsSO,class,authored-definition,,
