source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Characters/CharacterActorBridges.cs,models:characters,Models,Characters,runtime,,0,,,runtime-support,,
Assets/Scripts/Models/Characters/CharacterAuthoredModel.cs,models:characters,Models,Characters,runtime,,1,CharacterModelModifiers,class,runtime-support,,
Assets/Scripts/Models/Characters/CharacterIdRegistry.cs,models:characters,Models,Characters,runtime,DungeonStory.Characters,3,CharacterIdentitySnapshot; ICharacterIdentityRegistryPort; CharacterIdRegistry,class; interface; struct,read-projection; state-authority-or-registry,hash-membership,
Assets/Scripts/Models/Characters/CharacterMovementKinematics.cs,models:characters,Models,Characters,runtime,,2,ICharacterMovementKinematicsActor; CharacterMovementKinematics,class; interface,runtime-support,,
Assets/Scripts/Models/Characters/CharacterPopulationDomain.cs,models:characters,Models,Characters,runtime,DungeonStory.Characters,6,ICharacterPopulationProfileState; CharacterPopulationDomain; CharacterPopulationAggregate; where; CharacterPopulationAggregateRestore; where,class; interface,ai-decision; persistence; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Models/Characters/CharacterPrimitives.cs,models:characters,Models,Characters,runtime,,6,CharacterFacing; CharacterType; CharacterRole; CharacterCondition; CharacterDecisionState; CharacterLifecycleState,enum,runtime-support,,
Assets/Scripts/Models/Characters/CharacterProficiencyDomain.cs,models:characters,Models,Characters,runtime,,11,ProficiencyWorkOutcome; CharacterProficiencySnapshot; CharacterProficiencyEffectSnapshot; ProficiencyProgressionRules; CharacterStartingProficiencyExperience; CharacterProficiencySpecializationRules; CharacterStartingProficiencyRules; ProficiencyWorkProfile; WorkTypeProficiencyRules; ICharacterProficiencyQuery; ICharacterProficiencyCommand,class; enum; interface; struct,mutation-boundary-or-orchestration; read-projection,hash-membership,
Assets/Scripts/Models/Characters/CharacterProgressionRules.cs,models:characters,Models,Characters,runtime,DungeonStory.Characters,2,CharacterProgressionTransition; CharacterProgressionRules,class; struct,runtime-support,,
Assets/Scripts/Models/Characters/CharacterSettlementStanding.cs,models:characters,Models,Characters,runtime,,3,CharacterSettlementStanding; CharacterSettlementPopulationSnapshot; CharacterSettlementStandingRules,class; enum; struct,read-projection,,architecture-system:16
Assets/Scripts/Models/Characters/CharacterSkillTransientState.cs,models:characters,Models,Characters,runtime,,3,ICharacterSkillTransientStateRegistry; CharacterSkillWorkSpeedAuthority; CharacterSkillTransientState,class; interface,state-authority-or-registry,,
Assets/Scripts/Models/Characters/CharacterSpawnRules.cs,models:characters,Models,Characters,runtime,DungeonStory.Characters,3,CharacterSpawnRules; CharacterRespawnSchedule; CharacterRespawnData,class,runtime-support,dictionary-index,
Assets/Scripts/Models/Characters/CharacterStartingHistorySO.cs,models:characters,Models,Characters,runtime,,1,CharacterStartingHistorySO,class,authored-definition,,
Assets/Scripts/Models/Characters/CharacterStartingOriginSO.cs,models:characters,Models,Characters,runtime,,1,CharacterStartingOriginSO,class,authored-definition,hash-membership,
Assets/Scripts/Models/Characters/CharacterStartingProfileDomain.cs,models:characters,Models,Characters,runtime,,9,CharacterProficiencySubgrade; CharacterProficiencyBandSnapshot; CharacterStartingAgeBand; CharacterStartingProficiencyBonus; CharacterStartingProfileState; CharacterStartingProfileRoll; CharacterStartingLifeHistory; CharacterStartingAgeCondition; CharacterStartingProfileRules,class; enum; struct,read-projection,dictionary-index,
Assets/Scripts/Models/Characters/CharacterStatMaintenanceRuntime.cs,models:characters,Models,Characters,runtime,DungeonStory.Characters,2,ICharacterStatMaintenancePort; CharacterStatMaintenanceRuntime,class; interface,ai-decision,,
Assets/Scripts/Models/Characters/CharacterStatsMaintenanceSchedule.cs,models:characters,Models,Characters,runtime,,2,CharacterStatsMaintenanceSchedule; CharacterStatsMaintenanceScheduleSnapshot,class; struct,ai-decision; read-projection,,
Assets/Scripts/Models/Characters/CharacterVisualRootFactory.cs,models:characters,Models,Characters,runtime,,2,ICharacterVisualRootFactory; CharacterVisualRootFactory,class; interface,runtime-support,,
Assets/Scripts/Models/Characters/EnemyIndividualSaveData.cs,models:characters,Models,Characters,runtime,,2,EnemyIndividualAptitudeSaveData; EnemyIndividualSaveData,class,persistence,,
