source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Economy/Content/AnimalHusbandryAggregateState.cs,models:economy,Models,Economy,runtime,,4,AnimalHusbandryAggregateState; AnimalHusbandryRestoreCandidate; AnimalHusbandryStateCodec; value,class; enum,persistence; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Models/Economy/Content/AnimalHusbandryCommandPolicy.cs,models:economy,Models,Economy,runtime,,2,IAnimalHusbandryCommandState; AnimalHusbandryCommandPolicy,class; interface,mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Economy/Content/AnimalHusbandryModels.cs,models:economy,Models,Economy,runtime,,19,WildlifeInstanceId; WildlifeSpeciesId; AnimalSex; AnimalGrowthStage; AnimalHusbandryWorkKind; AnimalPenCompatibilityIssueKind; AnimalHusbandryFailureCode; AnimalHusbandryFailure; AnimalHusbandryStatusCode; AnimalProductProgressState; HusbandryAnimalState; AnimalPenPolicyData; AnimalProductProgressSaveData; HusbandryAnimalSaveData; AnimalPenPolicySaveData; AnimalPenCompatibilityIssue; AnimalPenCompatibilityResult; AnimalHusbandryWorkSnapshot; DungeonAnimalHusbandrySaveData,class; enum; struct,ai-decision; persistence; read-projection,,
Assets/Scripts/Models/Economy/Content/AnimalHusbandryPolicyEvaluator.cs,models:economy,Models,Economy,runtime,,1,AnimalHusbandryPolicyEvaluator,class,runtime-support,dictionary-index,
Assets/Scripts/Models/Economy/Content/AnimalHusbandryWorkExecutionHandler.cs,models:economy,Models,Economy,runtime,,3,AnimalHusbandryWorkHandle; IAnimalHusbandryWorkRuntimePort; AnimalHusbandryWorkExecutionHandler,class; interface,mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Economy/Content/AnimalHusbandryWorkRules.cs,models:economy,Models,Economy,runtime,,1,AnimalHusbandryWorkRules,class,runtime-support,,
Assets/Scripts/Models/Economy/Content/ApparelDefinitionSO.cs,models:economy,Models,Economy,runtime,,20,AnatomyAttachmentPoint; ApparelLayer; ApparelSizeClass; ApparelFitMode; ApparelBodyForm; ApparelModificationKind; ApparelUseTag; TextileConditionBand; TextileMaterialTag; TextileSourceKind; ApparelMaterialSelectionPolicy; TextileConditionRules; ApparelMaterialProvenance; ApparelDerivedStats; ApparelInstanceState; ApparelDefinitionSO; IApparelDefinitionCatalog; ITextileMaterialCatalog; ResourceApparelDefinitionCatalog; ResourceTextileMaterialCatalog,class; enum; interface; struct,authored-definition,dictionary-index,
Assets/Scripts/Models/Economy/Content/BuildingCropPlotAbility.cs,models:economy,Models,Economy,runtime,,1,BuildingCropPlotAbility,class,runtime-support,,
Assets/Scripts/Models/Economy/Content/BuildingMercenaryHiringAbility.cs,models:economy,Models,Economy,runtime,,1,BuildingMercenaryHiringAbility,class,runtime-support,,
Assets/Scripts/Models/Economy/Content/BuildingOverclockableAbility.cs,models:economy,Models,Economy,runtime,,1,BuildingOverclockableAbility,class,runtime-support,,
Assets/Scripts/Models/Economy/Content/BuildingPaidFacilityServiceAbility.cs,models:economy,Models,Economy,runtime,,2,PaidFacilityChargeMode; BuildingPaidFacilityServiceAbility,class; enum,ai-decision; mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Economy/Content/BuildingTreasuryPoweredDefenseAbility.cs,models:economy,Models,Economy,runtime,,1,BuildingTreasuryPoweredDefenseAbility,class,runtime-support,,
Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs,models:economy,Models,Economy,runtime,,3,CanonicalProductionOutputResolution; CanonicalProductionResolvedOutputLine; CanonicalProductionOutputResolver,class; struct,runtime-support,hash-membership,
Assets/Scripts/Models/Economy/Content/CombatAmmunitionPolicy.cs,models:economy,Models,Economy,runtime,,2,ICombatAmmunitionInventory; CombatAmmunitionPolicy,class; interface,runtime-support,hash-membership,
