source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Invasion/Core/DefenseBreachPlanner.cs,models:invasion,Models,Invasion,runtime,,9,DefenseBreachTargetSnapshot; DefenseBreachDamageFailureCode; DefenseBreachDamageSnapshot; IDefenseBreachTargetQuery; IDefenseBreachTargetCommand; DefenseBreachPlanSnapshot; DefenseBreachPlanningRules; HeapNode; MinHeap,class; enum; interface; struct,ai-decision; mutation-boundary-or-orchestration; read-projection,dictionary-index; hash-membership,
Assets/Scripts/Models/Invasion/Core/DefenseEngagementModels.cs,models:invasion,Models,Invasion,runtime,,3,DefenseInterceptPlan; DefenseEngagementIdentitySnapshot; DefenseCombatFormulaRules,class; struct,read-projection,,
Assets/Scripts/Models/Invasion/Core/DefenseInterceptPlanner.cs,models:invasion,Models,Invasion,runtime,,6,DefenseEngagementInterceptSnapshot; DefenseInterceptCellSnapshot; DefenseInterceptRoutePairSnapshot; DefenseInterceptCandidateSnapshot; DefenseOwnerFinalInterceptSnapshot; DefenseInterceptPlanningRules,class; struct,ai-decision; read-projection,hash-membership,
Assets/Scripts/Models/Invasion/Core/DefenseRangedPositionPlanner.cs,models:invasion,Models,Invasion,runtime,,5,DefenseRangedPositionGeometrySnapshot; DefenseRangedPositionCandidateSnapshot; DefenseRangedPositionScoreSnapshot; DefenseRangedPathDecision; DefenseRangedPositionPlanningRules,class; enum; struct,read-projection,,
Assets/Scripts/Models/Invasion/Core/DefenseResponsePolicyRuntime.cs,models:invasion,Models,Invasion,runtime,,1,DefenseResponsePolicyRuntime,class,runtime-support,dictionary-index,
Assets/Scripts/Models/Invasion/Core/DefenseResponsePolicyRuntimeContracts.cs,models:invasion,Models,Invasion,runtime,,1,IDefenseResponsePolicyRuntime,interface,runtime-support,,
Assets/Scripts/Models/Invasion/Core/FactionReinforcementMarker.cs,models:invasion,Models,Invasion,runtime,,1,FactionReinforcementMarker,class,runtime-support,,
Assets/Scripts/Models/Invasion/Core/FinalDefenseRallyPlanner.cs,models:invasion,Models,Invasion,runtime,,2,FinalDefenseRallyPlan; FinalDefenseRallyPlanner,class; struct,runtime-support,,
Assets/Scripts/Models/Invasion/Core/InvasionAggregateState.cs,models:invasion,Models,Invasion,runtime,,4,InvasionAggregateState; InvasionThreatAggregateState; DefensePolicyAggregateState; InvasionCampaignAggregateState,class,ai-decision; state-authority-or-registry,dictionary-index; transaction-idempotency,architecture-system:13
Assets/Scripts/Models/Invasion/Core/InvasionAggregateStateStore.cs,models:invasion,Models,Invasion,runtime,,1,InvasionAggregateStateStore,class,state-authority-or-registry,,
Assets/Scripts/Models/Invasion/Core/InvasionCampaignStateModels.cs,models:invasion,Models,Invasion,runtime,,3,HumanInvasionBranchState; HumanSupportSiteState; ScheduledInvasionOperationState,class,event-or-transaction,transaction-idempotency,
Assets/Scripts/Models/Invasion/Core/InvasionFacilityDamageResolver.cs,models:invasion,Models,Invasion,runtime,,2,InvasionFacilityTargetSelectionSnapshot; InvasionFacilityDamageSelectionRules,class,read-projection,hash-membership,
Assets/Scripts/Models/Invasion/Core/InvasionIntruderDataResolver.cs,models:invasion,Models,Invasion,runtime,,1,IInvasionIntruderDataProvider,interface,runtime-support,,
Assets/Scripts/Models/Invasion/Core/InvasionIntruderDefenseObservation.cs,models:invasion,Models,Invasion,runtime,,2,InvasionDefenseObservationSnapshot; InvasionIntruderDefenseObservation,class; struct,read-projection,,
Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs,models:invasion,Models,Invasion,runtime,,4,InvasionIntruderEntry; InvasionIntruderEntryFailureCode; InvasionIntruderEntryResolution; InvasionIntruderEntryResolver,class; enum; struct,ai-decision,,
Assets/Scripts/Models/Invasion/Core/InvasionIntruderModel.cs,models:invasion,Models,Invasion,runtime,,3,InvasionIntruderSettings; InvasionOwnerDamageTuning; InvasionIntruderPersistenceState,class,persistence,dictionary-index,
Assets/Scripts/Models/Invasion/Core/InvasionIntruderPatternCatalog.cs,models:invasion,Models,Invasion,runtime,,4,InvasionIntruderPatternIds; IInvasionIntruderPatternDefinitionCatalog; InvasionIntruderTargetPreference; InvasionIntruderPatternDefinition,class; enum; interface,runtime-support,,
