source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Items/Core/DurableFacilityEquipmentPolicyContracts.cs,models:items,Models,Items,runtime,,19,DurableFacilityEquipmentPolicyKinds; DurableFacilityEquipmentPolicy; IDurableFacilityEquipmentPolicySource; IDurableFacilityEquipmentPolicyQuery; DurableFacilityEquipmentComponentValueSnapshot; DurableFacilityEquipmentComponentSnapshot; DurableFacilityEquipmentUseSubject; DurableFacilityEquipmentUsabilityDisposition; DurableFacilityEquipmentUsabilityResult; IDurableFacilityEquipmentUsabilityPolicy; IDurableFacilityEquipmentUsabilityQuery; DurableFacilityEquipmentWearProjection; IDurableFacilityEquipmentWearPolicy; IDurableFacilityEquipmentWearQuery; DurableFacilityEquipmentUseContext; IDurableFacilityEquipmentEffectCommit; DurableFacilityEquipmentUseStatus; DurableFacilityEquipmentUseResult; IDurableFacilityEquipmentUseCommand,class; enum; interface; struct,mutation-boundary-or-orchestration; read-projection,revision-bound-cache,
Assets/Scripts/Models/Items/Core/DurableFacilityEquipmentSaveContracts.cs,models:items,Models,Items,runtime,,4,DungeonDurableFacilityEquipmentSaveData; DurableFacilityEquipmentSlotSaveData; IDurableFacilityEquipmentSlotPersistence; DurableFacilityEquipmentRestoreCandidate,class; interface,persistence; state-authority-or-registry,revision-bound-cache,
Assets/Scripts/Models/Items/Core/DurableFacilityEquipmentSlotCheckpointGcContracts.cs,models:items,Models,Items,runtime,,5,DurableFacilityEquipmentSlotCheckpointGcStatus; DurableFacilityEquipmentSlotCheckpointGcResult; IDurableFacilityEquipmentSlotCheckpointGcCoordinator; IDurableFacilityEquipmentSlotCheckpointGcCandidate; IDurableFacilityEquipmentSlotCheckpointGcPort,enum; interface; struct,mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Items/Core/DurableFacilityEquipmentSlotContracts.cs,models:items,Models,Items,runtime,,15,DurableFacilityEquipmentSlotKey; DurableFacilityEquipmentRequirement; DurableFacilityEquipmentAssignment; DurableFacilityEquipmentRequirementStatus; DurableFacilityEquipmentSlotSnapshot; DurableFacilityEquipmentSlotLifecyclePhase; DurableFacilityEquipmentSlotStatus; DurableFacilityEquipmentSlotResult; DurableFacilityEquipmentCapacityProjection; IDurableFacilityEquipmentCapacityProjector; IDurableFacilityEquipmentCapacityProjectionQuery; DurableFacilityEquipmentFingerprint; IDurableFacilityEquipmentSlotCommand; IDurableFacilityEquipmentSlotQuery; DurableFacilityEquipmentSlotIdentity,class; enum; interface; struct,mutation-boundary-or-orchestration; read-projection,transaction-idempotency,
Assets/Scripts/Models/Items/Core/FacilityBufferDestinationAdmissionFenceContracts.cs,models:items,Models,Items,runtime,,4,FacilityBufferDestinationAdmissionFenceSubject; FacilityBufferDestinationAdmissionFenceSnapshot; IFacilityBufferDestinationAdmissionFenceSource; IFacilityBufferDestinationAdmissionFenceQuery,interface; struct,read-projection,revision-bound-cache; transaction-idempotency,
Assets/Scripts/Models/Items/Core/FacilityBufferDestinationCustodyDrainContracts.cs,models:items,Models,Items,runtime,,11,FacilityBufferDestinationCustodyDrainPhase; FacilityBufferDestinationCustodyDrainStatus; FacilityBufferDestinationCustodyDrainDescriptor; FacilityBufferDestinationCustodyDrainSnapshot; FacilityBufferDestinationCustodyDrainResult; IFacilityBufferDestinationCustodyDrainService; IFacilityBufferDestinationCustodyDrainRestoreCandidateQuery; IFacilityBufferDestinationCustodyDrainCheckpointGcCandidate; IFacilityBufferDestinationCustodyDrainLiveQuery; IFacilityBufferDestinationCustodyDrainCheckpointGcPort; FacilityBufferDestinationCustodyDrainProjection,class; enum; interface; struct,ai-decision; mutation-boundary-or-orchestration; persistence; read-projection; state-authority-or-registry,,
Assets/Scripts/Models/Items/Core/FacilityOutputClearanceTelemetryContracts.cs,models:items,Models,Items,runtime,,7,FacilityOutputBatchPublishedObservation; FacilityOutputBatchPickupObservation; FacilityOutputClearanceSampleSnapshot; FacilityOutputClearanceTelemetrySnapshot; IFacilityOutputClearanceTelemetrySink; IFacilityOutputClearanceTelemetryQuery; IFacilityOutputClearanceTelemetryControl,interface; struct,read-projection,,
Assets/Scripts/Models/Items/Core/FacilityOutputExactRoutePort.cs,models:items,Models,Items,runtime,,11,FacilityOutputExactRouteFailureCode; FacilityOutputExactRouteFailure; FacilityOutputExactRouteSliceRequest; FacilityOutputExactRouteRequest; FacilityOutputExactRouteSliceReceipt; FacilityOutputExactRouteReceipt; FacilityOutputExactRoutePendingSnapshot; IFacilityOutputExactRouteOutboxQuery; IFacilityOutputExactRoutePort; FacilityOutputExactRouteBypassException; FacilityOutputExactRouteFingerprint,class; enum; interface; struct,ai-decision; event-or-transaction; read-projection,revision-bound-cache,
Assets/Scripts/Models/Items/Core/FacilityOutputExactRouteSaveContracts.cs,models:items,Models,Items,runtime,,16,FacilityOutputExactRoutePhase; FacilityOutputExactRouteSliceSaveData; FacilityOutputExactRouteOutboxSaveData; FacilityOutputExactRouteDeliveryRevisionSnapshot; FacilityOutputExactRouteDeliveryRevisionFingerprint; FacilityOutputExactRouteRestoreCandidate; IFacilityOutputExactRoutePreparedRestoreState; IFacilityOutputExactRouteOutboxPersistence; IFacilityOutputExactRouteRestoreCandidateQuery; IFacilityOutputExactRouteDeliveryRevisionRestoreCandidateQuery; FacilityOutputExactRouteDeliveryOverlayStatus; FacilityOutputExactRouteDeliveryOverlayReason; FacilityOutputExactRouteDeliverySubjectSnapshot; IFacilityOutputExactRouteDeliveryOverlayCandidate; IFacilityOutputExactRouteDeliveryOverlayParticipant; EmptyFacilityOutputExactRouteOutboxPersistence,class; enum; interface,event-or-transaction; persistence; player-observation; read-projection; state-authority-or-registry,revision-bound-cache; transaction-idempotency,
Assets/Scripts/Models/Items/Core/FoodFreshnessComponentCodec.cs,models:items,Models,Items,runtime,,1,FoodFreshnessComponentCodec,class,runtime-support,,
