source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Medical/Core/AnatomyConditionLexiconSO.cs,models:medical,Models,Medical,runtime,,4,AnatomyConditionLexiconEntry; AnatomyConditionLexiconSO; AnatomyConditionPresentation; IAnatomyConditionLexicon,class; interface; struct,authored-definition,,
Assets/Scripts/Models/Medical/Core/AnatomyModels.cs,models:medical,Models,Medical,runtime,,12,AnatomyFunction; AnatomyNodeKind; SurgicalPartKind; PartRecoveryPolicy; AnatomyConditionKind; AnatomyNodeDefinition; AnatomyProfileDefinition; CharacterAnatomyStateBounds; AnatomyNodeHealthState; AnatomyHealthSnapshot; IAnatomyProfileCatalog; WildlifeAnatomyState,class; enum; interface; struct,read-projection,dictionary-index,
Assets/Scripts/Models/Medical/Core/AnatomyProfileSO.cs,models:medical,Models,Medical,runtime,,2,AnatomyProfileSO; AnatomyFunctionalCapacityNotApplicable,class,authored-definition,,
Assets/Scripts/Models/Medical/Core/BuildingSurgeryAbilities.cs,models:medical,Models,Medical,runtime,,10,ISurgicalFacilityAbility; BuildingSurgeryTableAbility; BuildingAnatomyTableAbility; BuildingSterilizationAbility; BuildingAnesthesiaAbility; BuildingOrganStorageAbility; BuildingTransplantSupportAbility; BuildingArcaneSurgeryAbility; BuildingRehabilitationAbility; BuildingProstheticAssemblyAbility,class; interface,runtime-support,,
Assets/Scripts/Models/Medical/Core/CharacterMedicalSupplyPolicy.cs,models:medical,Models,Medical,runtime,,4,CharacterMedicalSupplyKind; CharacterMedicalMedicineCandidate; CharacterMedicalSupplyState; CharacterMedicalSupplyPolicy,class; enum; struct,runtime-support,,
Assets/Scripts/Models/Medical/Core/SurgeryAggregateState.cs,models:medical,Models,Medical,runtime,,4,SurgeryAggregateState; ISurgeryOrderDemandQuery; SurgeryAggregateStateStore; SurgeryStateCloner,class; interface,read-projection; state-authority-or-registry,dictionary-index; hash-membership,architecture-system:09
Assets/Scripts/Models/Medical/Core/SurgeryContracts.cs,models:medical,Models,Medical,runtime,,5,ISurgicalProcedureCatalog; ISurgicalCorpseFreshnessRuntime; ISurgeryPolicyRuntime; ISurgeryExtractionLedger; ISurgeryCommandService,interface,mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Medical/Core/SurgeryEnvironmentRiskSnapshot.cs,models:medical,Models,Medical,runtime,,1,SurgeryEnvironmentRiskSnapshot,struct,read-projection,,
Assets/Scripts/Models/Medical/Core/SurgeryExtractionLedger.cs,models:medical,Models,Medical,runtime,,1,SurgeryExtractionLedger,class,runtime-support,dictionary-index; hash-membership,
Assets/Scripts/Models/Medical/Core/SurgeryItemDefinitions.cs,models:medical,Models,Medical,runtime,,1,SurgeryItemDefinitions,class,runtime-support,,
Assets/Scripts/Models/Medical/Core/SurgeryModels.cs,models:medical,Models,Medical,runtime,,37,SurgeryFacilityTag; SurgicalSubjectKind; SurgicalProcedureKind; MedicalProcedureFamily; MedicalProcedureUrgency; ProcedureOperatorStatRequirement; ProcedureOperatorRequirement; SurgeryOrderState; SurgeryMaterialTerminalDrainPhase; SurgeryStatusCode; SurgeryRiskSummaryCode; SurgeryStatusData; SurgeryFailureSeverity; SurgicalMaterialRequirement; SurgicalProcedureEffect; HealSurgicalNodeEffect; MaintainSurgicalPartEffect; RemoveSurgicalNodeEffect; InstallSurgicalPartEffect; ApplySurgicalBurdenEffect; ReduceSurgicalBurdenEffect; AgeTreatmentEffectKind; ApplyAgeTreatmentEffect; SurgicalSubjectRef; SurgeryRiskBreakdown; SurgeryOrder; SurgeryMaterialSinkIdentity; SurgeryMaterialTerminalIdentity; SurgeryMaterialCapacityFingerprint; SurgicalPartInstance; SurgicalPartInstallationIdentity; DungeonSurgerySaveData; SurgicalCorpseFreshnessState; SurgicalOrganStorageState; SurgicalOrganStorageSnapshot; CorpseSurgicalRecord; SurgerySubjectPolicyState,class; enum; struct,ai-decision; persistence; read-projection,,
Assets/Scripts/Models/Medical/Core/SurgeryPersistence.cs,models:medical,Models,Medical,runtime,,1,SurgeryPersistence,class,persistence,,
Assets/Scripts/Models/Medical/Core/SurgeryPolicyRuntime.cs,models:medical,Models,Medical,runtime,,1,SurgeryPolicyRuntime,class,runtime-support,dictionary-index,
Assets/Scripts/Models/Medical/Core/SurgerySaveValidation.cs,models:medical,Models,Medical,runtime,,3,SurgerySaveValidation; count; in,class; record,persistence,hash-membership,
Assets/Scripts/Models/Medical/Core/SurgicalProcedureSO.cs,models:medical,Models,Medical,runtime,,1,SurgicalProcedureSO,class,authored-definition,,
