source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Meta/Core/DungeonMetaProgressionSaveData.cs,models:meta,Models,Meta,runtime,,3,DungeonMetaProgressionSaveData; DungeonMetaRunProgressSaveData; DungeonRunResultSaveData,class,persistence,,
Assets/Scripts/Models/Meta/Core/MetaProgressionCalculator.cs,models:meta,Models,Meta,runtime,,1,MetaProgressionCalculator,class,runtime-support,,
Assets/Scripts/Models/Meta/Core/MetaProgressionCatalog.cs,models:meta,Models,Meta,runtime,,2,IMetaUpgradeDefinitionCatalog; MetaUpgradeIds,class; interface,runtime-support,,
Assets/Scripts/Models/Meta/Core/MetaProgressionEffects.cs,models:meta,Models,Meta,runtime,,7,MetaUpgradeEffectIds; IMetaUpgradeEffect; IMetaIntegerBonusEffect; IMetaMultiplierEffect; MetaIntegerBonusEffect; MetaMultiplierDeltaEffect; MetaProgressionEffects,class; interface,ai-decision,,
Assets/Scripts/Models/Meta/Core/MetaProgressionEvents.cs,models:meta,Models,Meta,runtime,,4,RunResultReadyEvent; MetaUpgradePurchasedEvent; IDungeonRunTransitionService; IMetaRunSceneTransitionPort,interface; struct,event-or-transaction; mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Meta/Core/MetaProgressionModel.cs,models:meta,Models,Meta,runtime,,5,MetaProgressionBranch; MetaUpgradeDefinition; MetaProgressionAggregateState; MetaProgressionState; RunResultSnapshot,class; enum,read-projection; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Models/Meta/Core/MetaProgressionPersistencePort.cs,models:meta,Models,Meta,runtime,,1,IMetaProgressionPersistencePort,interface,persistence,,
Assets/Scripts/Models/Meta/Core/MetaProgressionRestoreBuilder.cs,models:meta,Models,Meta,runtime,,2,MetaProgressionRestoreCandidate; MetaProgressionRestoreBuilder,class,persistence; state-authority-or-registry,,
Assets/Scripts/Models/Meta/Core/MetaProgressionRunResultServices.cs,models:meta,Models,Meta,runtime,,7,MetaRunResultBuildContext; IMetaRunResultBuilder; MetaRunResultBuilder; MetaRunEnvironmentSnapshot; MetaFacilityCandidateSnapshot; IMetaRuntimeEventSink; IMetaRuntimeApplicationPort,class; interface; struct,event-or-transaction; read-projection,,
Assets/Scripts/Models/Meta/Core/MetaRunLifecycleAggregateState.cs,models:meta,Models,Meta,runtime,,1,MetaRunLifecycleAggregateState,class,state-authority-or-registry,,
Assets/Scripts/Models/Meta/Core/MetaRunProgressTracker.cs,models:meta,Models,Meta,runtime,,2,MetaRunProgressAggregateState; MetaRunProgressTracker,class,state-authority-or-registry,hash-membership,
