source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Research/Core/DungeonResearchSaveData.cs,models:research,Models,Research,runtime,,4,DungeonResearchSaveData; DungeonResearchTaskSaveData; DungeonResearchProjectProgressSaveData; DungeonResearchQueueEntrySaveData,class,persistence,,
Assets/Scripts/Models/Research/Core/KnowledgeResidueContracts.cs,models:research,Models,Research,runtime,,6,KnowledgeResidueUse; KnowledgeResidueDispositionPhase; KnowledgeResidueTaskSaveData; KnowledgeResidueTaskSnapshot; KnowledgeResidueAggregateState; KnowledgeResidueRestoreCandidate,class; enum; struct,persistence; read-projection; state-authority-or-registry,,
Assets/Scripts/Models/Research/Core/ResearchBlueprintArchiveStatus.cs,models:research,Models,Research,runtime,,1,ResearchBlueprintArchiveStatus,struct,runtime-support,,
Assets/Scripts/Models/Research/Core/ResearchCraftingSummary.cs,models:research,Models,Research,runtime,,2,ResearchCraftingSummary; IResearchCraftingSummaryService,interface; struct,mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Research/Core/ResearchFacilityContracts.cs,models:research,Models,Research,runtime,,4,ResearchFacilityCapabilityId; ResearchFacilityRequirement; ResearchFacilityContribution; ResearchFacilityCapacityRules,class; enum; struct,runtime-support,,
Assets/Scripts/Models/Research/Core/ResearchGraphContracts.cs,models:research,Models,Research,runtime,,3,ResearchGraphEdge; ResearchGraphLayout; IResearchGraphLayoutService,class; interface; struct,mutation-boundary-or-orchestration,dictionary-index,
Assets/Scripts/Models/Research/Core/ResearchProgressRules.cs,models:research,Models,Research,runtime,,1,ResearchProgressRules,class,runtime-support,,
Assets/Scripts/Models/Research/Core/ResearchProjectContracts.cs,models:research,Models,Research,runtime,,6,ResearchBlueprintRule; ResearchField; ResearchNodeState; ResearchProjectId; IResearchProjectDefinition; ResearchProjectDefinitionSnapshot,enum; interface; struct,read-projection,,
Assets/Scripts/Models/Research/Core/ResearchProjectCoordinatorRules.cs,models:research,Models,Research,runtime,,2,ResearchProjectCoordinatorRules; ResearchNodeEvaluation,class; struct,mutation-boundary-or-orchestration,hash-membership,
Assets/Scripts/Models/Research/Core/ResearchProjectSO.cs,models:research,Models,Research,runtime,,3,ResearchProjectSO; ResearchPrerequisiteKind; ResearchPrerequisiteLink,class; enum,authored-definition,dictionary-index,
Assets/Scripts/Models/Research/Core/ResearchQueueSystem.cs,models:research,Models,Research,runtime,,7,ResearchProjectProgressState; ResearchQueueEntry; ResearchProjectRuntimeState; ResearchQueueCommandResult; IResearchQueueCommandService; IResearchQueueRuntimePort; ResearchQueueCommandService,class; interface; struct,mutation-boundary-or-orchestration,dictionary-index; hash-membership,architecture-system:15
Assets/Scripts/Models/Research/Core/ResearchRewardContracts.cs,models:research,Models,Research,runtime,,4,ResearchRewardKind; ResearchRewardEntry; IResearchRewardCatalog; ResearchRewardIndex,class; enum; interface; struct,runtime-support,dictionary-index,
Assets/Scripts/Models/Research/Core/ResearchSaveValidation.cs,models:research,Models,Research,runtime,,1,ResearchSaveValidation,class,persistence,,
Assets/Scripts/Models/Research/Core/ResearchUnlockBundleDefinitionSO.cs,models:research,Models,Research,runtime,,3,ResearchUnlockBundleRole; ResearchUnlockRewardGroup; ResearchUnlockBundleDefinitionSO,class; enum,authored-definition,hash-membership,architecture-system:15
