source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Models/Work/BuildingWorkOrderSummary.cs,models:work,Models,Work,runtime,,3,BuildingWorkOrderSummaryStatus; BuildingWorkOrderSummarySnapshot; IBuildingWorkOrderSummaryQuery,enum; interface; struct,read-projection,dictionary-index,
Assets/Scripts/Models/Work/CraftWorkExecutionHandler.cs,models:work,Models,Work,runtime,,9,CraftWorkerHandle; CraftFacilityHandle; CraftWorkOperationKind; CraftWorkAvailability; CraftWorkExecutionPlan; CraftWorkProgressResult; ICraftPersistentOperationContributor; IBuildingCraftWorkRuntimePort; CraftWorkExecutionHandler,class; enum; interface; struct,ai-decision; event-or-transaction; mutation-boundary-or-orchestration,transaction-idempotency,
Assets/Scripts/Models/Work/DungeonStaffDiscontentSaveData.cs,models:work,Models,Work,runtime,,6,StaffDiscontentStage; StaffDiscontentOutcome; StaffRebellionResponseType; StaffDiscontentRules; DungeonStaffDiscontentSaveData; DungeonStaffDiscontentRecordSaveData,class; enum,persistence,,
Assets/Scripts/Models/Work/FacilityWorkTypeMap.cs,models:work,Models,Work,runtime,,2,FacilityWorkTypeMap; Entry,class; struct,runtime-support,,
Assets/Scripts/Models/Work/ResearchWorkExecutionHandler.cs,models:work,Models,Work,runtime,DungeonStory.Work,6,ResearchWorkerHandle; ResearchFacilityHandle; ResearchWorkPlan; ResearchWorkProgressResult; IResearchWorkRuntimePort; ResearchWorkExecutionHandler,class; interface; struct,mutation-boundary-or-orchestration,,
Assets/Scripts/Models/Work/RuntimeWorkCapabilityMarker.cs,models:work,Models,Work,runtime,,2,RuntimeWorkCapabilityMarker; RuntimeWorkCapabilityUtility,class,runtime-support,dictionary-index; hash-membership,
Assets/Scripts/Models/Work/SettlementLaborAuthority.cs,models:work,Models,Work,runtime,,1,SettlementLaborAuthority,class,state-authority-or-registry,,
Assets/Scripts/Models/Work/StaffWorkforceQueryService.cs,models:work,Models,Work,runtime,DungeonStory.Work,3,StaffWorkforceSnapshot; IStaffWorkforceSnapshotQuery; StaffWorkforceRuntimeQueryService,class; interface; struct,mutation-boundary-or-orchestration; read-projection,,
Assets/Scripts/Models/Work/WorkPriorityLevel.cs,models:work,Models,Work,runtime,,2,WorkPriorityLevel; WorkPriorityLevelExtensions,class; enum,runtime-support,,
Assets/Scripts/Models/Work/WorkTargetCandidate.cs,models:work,Models,Work,runtime,,1,WorkTargetCandidate,struct,runtime-support,,architecture-system:04
Assets/Scripts/Models/Work/WorkTypeCatalog.cs,models:work,Models,Work,runtime,,3,EmergencyWorkFlags; WorkTypeDefinition; WorkTypeCatalog,class; enum,runtime-support,,
Assets/Scripts/Models/Work/WorkTypeId.cs,models:work,Models,Work,runtime,,2,WorkTypeId; BuiltInWorkTypeIds,class; struct,runtime-support,,architecture-system:04
