source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Services/Buildings/Abilities/BuildingAbility.cs,services:buildings,Services,Buildings,runtime,,18,BuildingFacilityAbility; BuildingDefenseAbility; BuildingCoverAbility; BuildingStructuralIntegrityAbility; BuildingEvolutionAbility; BuildingNeedRecoveryAbility; BuildingRecreationalSubstanceServiceAbility; BuildingProductionAbility; BuildingLightingAbility; BuildingWorkAmountAbility; BuildingExpeditionRecoveryAbility; BuildingReceptionAbility; BuildingPatrolPostAbility; BuildingOutdoorRestAbility; BuildingExteriorMaintenanceAbility; BuildingTrainingAbility; BuildingSecurityAbility; BuildingCrimeRiskModifierAbility,class,ai-decision; mutation-boundary-or-orchestration,hash-membership,architecture-system:03
Assets/Scripts/Services/Buildings/Abilities/BuildingAbilityAccessors.cs,services:buildings,Services,Buildings,runtime,,1,BuildingAbilityAccessors,class,runtime-support,hash-membership,
Assets/Scripts/Services/Buildings/Abilities/BuildingAbilityHandlers.cs,services:buildings,Services,Buildings,runtime,,5,BuildingAbilityWorkContext; IBuildingAbilityWorkCompletedHandler; IBuildingWorkCompletionFallbackHandler; IBuildingAbilityRuntimeDispatcher; BuildingAbilityRuntimeDispatcher,class; interface; struct,mutation-boundary-or-orchestration,dictionary-index,
Assets/Scripts/Services/Buildings/Abilities/BuildingAbilityRuntime.cs,services:buildings,Services,Buildings,runtime,,6,IBuildingVisualRuntimeAbility; IBuildingUseCompletedRuntimeAbility; IBuildingExteriorWorkRuntimeAbility; IBuildingWorkAmountRuntimeAbility; IBuildingRuntimeStateAbility; IBuildingCrimeRiskModifier,interface,runtime-support,,
Assets/Scripts/Services/Buildings/Access/DoorAccessModels.cs,services:buildings,Services,Buildings,runtime,,9,DoorAccessGroup; DoorAccessIndividualRule; DoorAccessPreset; DoorAccessPolicyState; DoorAccessSubjectRef; IDoorAccessQuery; IDoorAccessCommandService; IDoorAccessSubjectRegistry; IDoorAccessStateChangeSink,class; enum; interface; struct,mutation-boundary-or-orchestration; read-projection; state-authority-or-registry,hash-membership,
Assets/Scripts/Services/Buildings/Access/DoorAccessStateModule.cs,services:buildings,Services,Buildings,runtime,,1,DoorAccessStateModule,class,runtime-support,,
Assets/Scripts/Services/Buildings/BuildableObject.cs,services:buildings,Services,Buildings,runtime,,1,BuildableObject,class,runtime-support,,
Assets/Scripts/Services/Buildings/BuildableObject.SpatialAndInteraction.cs,services:buildings,Services,Buildings,runtime,,2,BuildingWorkAccessRules; BuildableObjectSpatialQuery,class,read-projection,hash-membership,
Assets/Scripts/Services/Buildings/BuildableObject.StateAndCapabilities.cs,services:buildings,Services,Buildings,runtime,,1,BuildableObjectStateAndCapabilityController,class,runtime-support,,
Assets/Scripts/Services/Buildings/BuildingDestructiveLossRuntime.cs,services:buildings,Services,Buildings,runtime,,4,BuildingDestructiveLossDisposition; BuildingDestructiveLossResult; IBuildingDestructiveLossRuntime; BuildingDestructiveLossRuntime,class; enum; interface; struct,runtime-support,,
Assets/Scripts/Services/Buildings/BuildingOccupancyAssignment.cs,services:buildings,Services,Buildings,runtime,,3,BuildingOccupancy; VisitReservation; BuildingAssignment,class; struct,runtime-support,dictionary-index; hash-membership,
Assets/Scripts/Services/Buildings/BuildingRuntimeArchetypeKind.cs,services:buildings,Services,Buildings,runtime,,2,BuildingRuntimeArchetypeKind; BuildingRuntimeArchetypeKindExtensions,class; enum,runtime-support,,
Assets/Scripts/Services/Buildings/BuildingStateModule.cs,services:buildings,Services,Buildings,runtime,,14,BuildingStateModuleIds; BuildingCraftsmanshipSaveData; BuildingCraftsmanshipStateModule; BuildingStateModuleSaveData; IBuildingStateModule; BuildingStateModuleRestoreResult; BuildingStateModulePersistence; FacilityRuntimeStateModule; WarehouseInventoryStateModule; ShopStockStateModule; BuildingProductionState; BuildingProductionStateModule; BuildingSecurityState; BuildingSecurityStateModule,class; interface,persistence; state-authority-or-registry,dictionary-index,
