source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Services/Character/Ability/AbilityMove.cs,services:character,Services,Character,runtime,,1,AbilityMove,class,runtime-support,,
Assets/Scripts/Services/Character/Ability/AbilityMoveTraversalGuard.cs,services:character,Services,Character,runtime,,1,AbilityMoveTraversalGuard,class,runtime-support,,
Assets/Scripts/Services/Character/Ability/AbilitySchedule.cs,services:character,Services,Character,runtime,,2,AbilitySchedule; Schedule,class; enum,runtime-support,,
Assets/Scripts/Services/Character/Ability/AbilityShopping.cs,services:character,Services,Character,runtime,,2,ShoppingVisitOutcome; AbilityShopping,class; enum,runtime-support,,
Assets/Scripts/Services/Character/Ability/AbilityWork.cs,services:character,Services,Character,runtime,,3,AbilityWork; DutyState; AbilityWorkNoopFloatingIconFeedbackService,class; enum,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Character/Ability/CharacterAbility.cs,services:character,Services,Character,runtime,,1,CharacterAbility,class,runtime-support,,
Assets/Scripts/Services/Character/Ability/CharacterVisitPolicy.cs,services:character,Services,Character,runtime,,1,CharacterVisitPolicy,class,runtime-support,,
Assets/Scripts/Services/Character/Ability/GridMoveBlockedResponder.cs,services:character,Services,Character,runtime,,1,GridMoveBlockedResponder,class,runtime-support,,
Assets/Scripts/Services/Character/AgeTreatmentCommandRuntime.cs,services:character,Services,Character,runtime,,5,AgeTreatmentKind; AgeTreatmentOrderRequest; IAgeTreatmentCommand; AgeTreatmentCommandRuntime; TreatmentContract,class; enum; interface; struct,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Character/AI/Action/AIActionSet.cs,services:character,Services,Character,runtime,,1,AIActionSet,class,ai-decision; authored-definition,dictionary-index,
Assets/Scripts/Services/Character/AI/Action/AIDrink.cs,services:character,Services,Character,runtime,,1,AIDrink,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIHaul.cs,services:character,Services,Character,runtime,,1,AIHaul,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIHunt.cs,services:character,Services,Character,runtime,,1,AIHunt,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIPrimitiveBucketWash.cs,services:character,Services,Character,runtime,,1,AIPrimitiveBucketWash,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIPrimitiveFieldMeal.cs,services:character,Services,Character,runtime,,1,AIPrimitiveFieldMeal,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIPrimitiveFloorRest.cs,services:character,Services,Character,runtime,,1,AIPrimitiveFloorRest,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIPrimitiveLatrine.cs,services:character,Services,Character,runtime,,1,AIPrimitiveLatrine,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIPrimitiveSurvivalActions.cs,services:character,Services,Character,runtime,,1,AIPrimitiveSurvivalAction,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIRescue.cs,services:character,Services,Character,runtime,,1,AIRescue,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AISubstanceUse.cs,services:character,Services,Character,runtime,,1,AISubstanceUse,class,ai-decision,,
Assets/Scripts/Services/Character/AI/Action/AIWork.cs,services:character,Services,Character,runtime,,1,AIWork,class,ai-decision,,
Assets/Scripts/Services/Character/AI/AIActionFailure.cs,services:character,Services,Character,runtime,,3,AIActionFailure; FacilityAssignmentFailureExtensions; AIActionDebugCandidate,class; struct,ai-decision,,
Assets/Scripts/Services/Character/AI/AIActionRuntime.cs,services:character,Services,Character,runtime,,3,AIActionPlanKind; AIActionPlan; AIAction,class; enum,ai-decision,dictionary-index,architecture-system:01
Assets/Scripts/Services/Character/AI/AIBrain.cs,services:character,Services,Character,runtime,,3,CharacterAiPreferredActionDisposition; CharacterAiPreferredActionFailureSource; AIBrain,class; enum,ai-decision,dictionary-index,architecture-system:01
Assets/Scripts/Services/Character/AI/AIBrainActionConfiguration.cs,services:character,Services,Character,runtime,,1,AIBrainActionConfiguration,class,ai-decision,,
Assets/Scripts/Services/Character/AI/AIBrainActionContinuationPolicy.cs,services:character,Services,Character,runtime,,1,AIBrainActionContinuationPolicy,class,ai-decision,,
Assets/Scripts/Services/Character/AI/AIBrainActionEvaluator.cs,services:character,Services,Character,runtime,,1,AIBrainActionEvaluator,class,ai-decision,dictionary-index,
Assets/Scripts/Services/Character/AI/AIBrainActionSelectionState.cs,services:character,Services,Character,runtime,,2,AIBrainActionEvaluation; AIBrainActionScoringContinuation,class; struct,ai-decision,,
Assets/Scripts/Services/Character/AI/AIBrainCandidateCommitter.cs,services:character,Services,Character,runtime,,1,AIBrainCandidateCommitter,class,ai-decision,,architecture-system:01
Assets/Scripts/Services/Character/AI/AIBrainCandidateSelector.cs,services:character,Services,Character,runtime,,1,AIBrainCandidateSelector,class,ai-decision,,
Assets/Scripts/Services/Character/AI/AIBrainDebugFormatter.cs,services:character,Services,Character,runtime,,2,AIBrainDebugSnapshot; AIBrainDebugFormatter,class,ai-decision; read-projection,,
Assets/Scripts/Services/Character/AI/AIBrainServices.cs,services:character,Services,Character,runtime,,2,AIBrainDecisionServices; AIBrainExecutionServices,class,ai-decision; mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Character/AI/AiDirectorContextAggregator.cs,services:character,Services,Character,runtime,,2,AiDirectorContextSummary; AiDirectorContextAggregator,class,ai-decision,dictionary-index,
Assets/Scripts/Services/Character/AI/AiDirectorContextSceneQuery.cs,services:character,Services,Character,runtime,,3,AiDirectorContextSceneSnapshot; IAiDirectorContextSceneQuery; AiDirectorContextSceneQuery,class; interface; struct,ai-decision; read-projection,,
Assets/Scripts/Services/Character/AI/AiDirectorRuntime.cs,services:character,Services,Character,runtime,,1,AiDirectorRuntime,class,ai-decision,dictionary-index,
