source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Services/Combat/AbilityRescue.cs,services:combat,Services,Combat,runtime,,2,AbilityRescue; PathResolution,class,runtime-support,revision-bound-cache,
Assets/Scripts/Services/Combat/Buildings/EquipmentCraftingBuildingAbilityHandler.cs,services:combat,Services,Combat,runtime,,1,EquipmentCraftingBuildingAbilityHandler,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs,services:combat,Services,Combat,runtime,,13,CharacterBodyHealthState; DungeonCharacterBodyHealthSaveData; CharacterBodyHealthDownedEvent; CharacterBodyHealthRecoveredEvent; ICharacterBodyHealthQuery; CharacterCombatSpecialStatusSnapshot; ICharacterCombatSpecialStatusQuery; CharacterManaSnapshot; ICharacterManaQuery; ICharacterManaCommand; ICharacterBodyHealthCommand; ICharacterBodyHealthPersistence; CharacterBodyHealthRestoreCandidate,class; interface; struct,event-or-transaction; mutation-boundary-or-orchestration; persistence; read-projection; state-authority-or-registry,,
Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs,services:combat,Services,Combat,runtime,,1,CharacterBodyHealthRuntime,class,runtime-support,dictionary-index; revision-bound-cache,architecture-system:09; architecture-system:12
Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs,services:combat,Services,Combat,runtime,,5,CharacterBodyHealthStateRules; CharacterVitalsAggregateState; CharacterVitalsRestoreCandidate; CharacterVitalsAuthority; CharacterVitalsSideEffectAdapter,class,persistence; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CharacterCombatCommandRestoreCoordinator.cs,services:combat,Services,Combat,runtime,,1,CharacterCombatCommandRestoreCoordinator,class,mutation-boundary-or-orchestration; persistence; state-authority-or-registry,dictionary-index,
Assets/Scripts/Services/Combat/CharacterCombatCommandRuntime.cs,services:combat,Services,Combat,runtime,,2,CharacterCombatCommandRuntime; CharacterCombatCommandRuntimeRules,class,mutation-boundary-or-orchestration,dictionary-index; hash-membership; revision-bound-cache,
Assets/Scripts/Services/Combat/CharacterCombatCommandRuntimeContracts.cs,services:combat,Services,Combat,runtime,,3,ICharacterCombatStanceQuery; ICharacterCombatCommandRuntime; IPlayerCombatCommandSource,interface,mutation-boundary-or-orchestration; read-projection,,
Assets/Scripts/Services/Combat/CharacterCombatCommandRuntimeServices.cs,services:combat,Services,Combat,runtime,,3,CharacterCombatCommandCombatServices; CharacterCombatCommandWorldServices; CharacterCombatCommandCollaborators,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Combat/CharacterCombatCommandUnityLifecycleAdapter.cs,services:combat,Services,Combat,runtime,,1,CharacterCombatCommandUnityLifecycleAdapter,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Combat/CharacterCombatStanceProjection.cs,services:combat,Services,Combat,runtime,,1,CharacterCombatStanceProjection,class,read-projection,,
Assets/Scripts/Services/Combat/CharacterMedicalAggregateState.cs,services:combat,Services,Combat,runtime,,6,CharacterMedicalAggregateState; CharacterMedicalDownedRegistration; CharacterMedicalRestoreCandidate; CharacterMedicalOrderViewSnapshot; CharacterMedicalPatientPhaseSnapshot; CharacterMedicalPublication,class,persistence; player-observation; read-projection; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CharacterMedicalModels.cs,services:combat,Services,Combat,runtime,,13,CharacterMedicalOrderState; CharacterMedicalStatusCode; CharacterMedicalSupplyCommitPhase; CharacterMedicalSupplyDestinationDrainPhase; CharacterMedicalSupplyDestinationDrainJoinData; CharacterMedicalOrder; CharacterMedicalBloodContactEvent; DungeonCharacterMedicalSaveData; ICharacterMedicalQuery; ICharacterMedicalCommand; ICharacterMedicalPersistence; ICharacterCarePriorityQuery; DownedCharacterGridOccupant,class; enum; interface; struct,ai-decision; event-or-transaction; mutation-boundary-or-orchestration; persistence; read-projection,,
Assets/Scripts/Services/Combat/CharacterMedicalOrderPersistence.cs,services:combat,Services,Combat,runtime,,1,CharacterMedicalOrderPersistence,class,persistence,,
Assets/Scripts/Services/Combat/CharacterMedicalRestoreRuntime.cs,services:combat,Services,Combat,runtime,,7,CharacterMedicalPublicationFaultPoint; CharacterMedicalPublicationApplier; CharacterMedicalRestoreServices; CharacterMedicalProjectionContext; CharacterMedicalRestoreCoordinator; CharacterMedicalRestoreFaultScenarios; CharacterMedicalInjectedFaultException,class; enum,mutation-boundary-or-orchestration; persistence; read-projection; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,services:combat,Services,Combat,runtime,,1,CharacterMedicalRuntime,class,runtime-support,dictionary-index; hash-membership,architecture-system:09
Assets/Scripts/Services/Combat/CharacterMedicalSaveValidation.cs,services:combat,Services,Combat,runtime,,1,CharacterMedicalSaveValidation,class,persistence,hash-membership,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyCoordinator.cs,services:combat,Services,Combat,runtime,,3,ICharacterMedicalSupplyStockPort; CharacterMedicalSupplyStockPort; CharacterMedicalSupplyCoordinator,class; interface,mutation-boundary-or-orchestration,dictionary-index; transaction-idempotency,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationDrainCheckpointGc.cs,services:combat,Services,Combat,runtime,,9,CharacterMedicalSupplyDestinationDrainCheckpointGcStatus; CharacterMedicalSupplyDestinationDrainCheckpointGcResult; ICharacterMedicalSupplyDestinationDrainCheckpointGcCoordinator; ICharacterMedicalSupplyDestinationDrainCheckpointGcCandidate; ICharacterMedicalSupplyDestinationDrainCheckpointGcAuthority; CharacterMedicalSupplyDestinationDrainCheckpointGcAuthority; OrderEntry; Candidate; CharacterMedicalSupplyDestinationDrainCheckpointGcCoordinator,class; enum; interface; struct,ai-decision; mutation-boundary-or-orchestration; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationDrainCrossAggregateJoin.cs,services:combat,Services,Combat,runtime,,1,CharacterMedicalSupplyDestinationDrainCrossAggregateJoin,class,ai-decision; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationDrainCrossAggregateSaveValidation.cs,services:combat,Services,Combat,runtime,,1,CharacterMedicalSupplyDestinationDrainCrossAggregateSaveValidation,class,ai-decision; persistence; state-authority-or-registry,dictionary-index,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationDrainRuntime.cs,services:combat,Services,Combat,runtime,,5,CharacterMedicalSupplyDestinationDrainAdvanceStatus; CharacterMedicalSupplyDestinationDrainAdvanceResult; ICharacterMedicalSupplyDestinationDrainRuntime; CharacterMedicalSupplyDestinationDrainRuntime; CharacterMedicalSupplyDestinationDrainJoin,class; enum; interface; struct,ai-decision,hash-membership,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationDrainRuntimeDebugScenarios.cs,services:combat,Services,Combat,runtime,,16,CharacterMedicalSupplyDestinationDrainRuntimeDebugScenarios; DrainFixture; RecordingClaimQuery; RecordingDestinationRuntime; RecordingCustodyDrainService; MedicalRuntimeFixture; RecordingOwnerDrain; RecordingPhysicalSink; RecordingTareDisposition; AlwaysValidDestinationRuntime; EmptyDrainRestoreCandidateQuery; FixedBodyHealthQuery; FixedCarePriorityQuery; UnavailableGridProvider; RuntimeWorldRegistry; DefaultDispatchProxy,class,ai-decision; mutation-boundary-or-orchestration; persistence; read-projection; state-authority-or-registry; validation,dictionary-index; revision-bound-cache; transaction-idempotency,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationDrainValidation.cs,services:combat,Services,Combat,runtime,,1,CharacterMedicalSupplyDestinationDrainValidation,class,ai-decision,,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationRuntime.cs,services:combat,Services,Combat,runtime,,3,ICharacterMedicalSupplyDestinationRuntime; CharacterMedicalSupplyDestinationAuthority; CharacterMedicalSupplyDestinationRuntime,class; interface,state-authority-or-registry,dictionary-index; transaction-idempotency,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationRuntimeDebugScenarios.cs,services:combat,Services,Combat,runtime,,6,CharacterMedicalSupplyDestinationRuntimeDebugScenarios; Fixture; NoopFacilityStateChange; FixedResourceCatalog; FixedMassQuery; EmptyOccupancy,class,authored-definition; read-projection; validation,dictionary-index; revision-bound-cache; transaction-idempotency,
Assets/Scripts/Services/Combat/CharacterMedicalSupplyOutboxDebugScenarios.cs,services:combat,Services,Combat,runtime,,11,CharacterMedicalSupplyOutboxDebugScenarios; FixedSupplyStockPort; RecordingSupplyStockPort; FixedResourceCatalog; FixedStockQuery; FixedMassQuery; FailFirstAcknowledgeGateway; RejectingSinkGateway; RecordingPackageTareDisposition; AlwaysValidDestinationRuntime; NullItemMarkerPresenter,class,ai-decision; authored-definition; event-or-transaction; player-observation; read-projection; validation,dictionary-index; transaction-idempotency,
Assets/Scripts/Services/Combat/CharacterMedicalWorldServices.cs,services:combat,Services,Combat,runtime,,1,CharacterMedicalWorldServices,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Combat/CombatAffiliationService.cs,services:combat,Services,Combat,runtime,,2,CombatAffiliationService; CombatFiringSolutionService,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Combat/CombatAttackPositionPlanner.cs,services:combat,Services,Combat,runtime,,1,CombatAttackPositionPlanner,class,runtime-support,,
Assets/Scripts/Services/Combat/CombatCommandBarUiController.cs,services:combat,Services,Combat,runtime,,1,CombatCommandBarUiController,class,mutation-boundary-or-orchestration,dictionary-index,
Assets/Scripts/Services/Combat/CombatCommandParticipantQuery.cs,services:combat,Services,Combat,runtime,,1,CombatCommandParticipantQuery,class,mutation-boundary-or-orchestration; read-projection,,
Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs,services:combat,Services,Combat,runtime,,1,CombatCommandResultApplier,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Combat/CombatCoverDurability.cs,services:combat,Services,Combat,runtime,,4,CombatCoverDurabilitySaveData; ICombatCoverDurabilityRegistry; CombatCoverDurabilityRegistry; CombatCoverDurability,class; interface,persistence; state-authority-or-registry,dictionary-index,
Assets/Scripts/Services/Combat/CombatCraftDefinitionCatalog.cs,services:combat,Services,Combat,runtime,,11,CombatCraftOutputKind; CombatCraftAllowlist; CombatCraftDefinitionSnapshot; CombatAmmunitionCraftDefinitions; ICombatCraftDefinitionCatalog; CombatCraftDefinitionCatalog; CombatCraftFacilityEligibilitySnapshot; CombatCraftFacilityEligibility; ICombatCraftFacilityEligibilityQuery; CombatCraftFacilityEligibilityQuery; CombatCraftFacilityOutputCapacityContributor,class; enum; interface,read-projection,dictionary-index,
Assets/Scripts/Services/Combat/CombatEquipmentCharacterDeathConnector.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentCharacterDeathConnector,class,runtime-support,,
Assets/Scripts/Services/Combat/CombatEquipmentCraftingRuntime.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentCraftingRuntime,class,runtime-support,dictionary-index; hash-membership; bounded-work; transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentCraftInputDestinationRuntime.cs,services:combat,Services,Combat,runtime,,4,ICombatEquipmentCraftInputDestinationRuntime; CombatEquipmentCraftInputDestinationProjection; CombatEquipmentCraftInputDestinationAuthority; CombatEquipmentCraftInputDestinationRuntime,class; interface,read-projection; state-authority-or-registry,dictionary-index; transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentCraftMaterialOutbox.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentCraftMaterialOutbox,class,event-or-transaction,dictionary-index; transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentCraftMaterialRestoreGuard.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentCraftMaterialRestoreGuard,class,persistence; state-authority-or-registry,dictionary-index; hash-membership; transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentCraftOutputOutbox.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentCraftOutputOutbox,class,event-or-transaction,transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentCraftOutputTransaction.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentCraftOutputTransaction,class,runtime-support,transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentCraftTerminalAuthority.cs,services:combat,Services,Combat,runtime,,3,CombatEquipmentCraftTerminalAuthority; CheckpointGcRow; CheckpointGcCandidate,class,state-authority-or-registry,transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentLoadoutRuntime.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentLoadoutRuntime,class,runtime-support,,architecture-system:12
Assets/Scripts/Services/Combat/CombatEquipmentOutputRestorePreflight.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentOutputRestorePreflight,class,persistence; state-authority-or-registry,,
Assets/Scripts/Services/Combat/CombatEquipmentRejectedDismantleOutbox.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentRejectedDismantleOutbox,class,event-or-transaction,transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentRepairTerminalAuthority.cs,services:combat,Services,Combat,runtime,,3,CombatEquipmentRepairTerminalAuthority; CheckpointGcRow; CheckpointGcCandidate,class,ai-decision; state-authority-or-registry,transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentRestoreBuilder.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentRestoreBuilder,class,persistence; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CombatEquipmentRuntime.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentRuntime,class,runtime-support,bounded-work; transaction-idempotency,architecture-system:12
Assets/Scripts/Services/Combat/CombatEquipmentRuntimeCollaborators.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentRuntimeCollaborators,class,runtime-support,,
Assets/Scripts/Services/Combat/CombatEquipmentRuntimeContracts.cs,services:combat,Services,Combat,runtime,,5,EquipmentProgressionFacilityContract; ICombatEquipmentCraftQueueQuery; ICombatEquipmentRuntime; ICombatLoadoutRuntime; ICombatEquipmentBurdenQuery,class; interface,read-projection,bounded-work; transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentStateServices.cs,services:combat,Services,Combat,runtime,,5,CombatEquipmentRuntimeState; CombatEquipmentRestoreCandidate; CombatEquipmentRuntimeStateStore; CombatEquipmentPhysicalStateWriter; CombatEquipmentLoadoutStore,class,persistence; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CombatEquipmentStatProjector.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentStatProjector,class,runtime-support,hash-membership,architecture-system:12
Assets/Scripts/Services/Combat/CombatEquipmentTerminalDestructiveDrainParticipant.cs,services:combat,Services,Combat,runtime,,2,CombatEquipmentTerminalDestructiveDrainParticipant; CheckpointGcCandidate,class,ai-decision,transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentTerminalDrainContracts.cs,services:combat,Services,Combat,runtime,,24,CombatEquipmentTerminalSourceKind; CombatEquipmentTerminalDrainPhase; CombatEquipmentTerminalDrainStatus; CombatEquipmentTerminalEffectStatus; CombatEquipmentTerminalMassAccounting; CombatEquipmentTerminalFrozenSubject; CombatEquipmentTerminalPreparedSource; CombatEquipmentTerminalDrainRequest; CombatEquipmentTerminalDrainResult; CombatEquipmentTerminalEffectResult; CombatEquipmentTerminalInputDispositionEvidence; ICombatEquipmentTerminalSourceAuthority; CombatEquipmentTerminalReceiptGcRow; ICombatEquipmentTerminalSourceCheckpointGcCandidate; ICombatEquipmentTerminalSourceCheckpointGcAuthority; ICombatEquipmentTerminalDrainQuery; ICombatEquipmentTerminalDrainCommand; ICombatEquipmentTerminalDrainCheckpointGcCandidate; ICombatEquipmentTerminalDrainCheckpointGcAuthority; CombatEquipmentTerminalFrozenSourceSaveData; CombatEquipmentTerminalWipLossReceiptSaveData; CombatEquipmentTerminalSourceRemovalReceiptSaveData; CombatEquipmentTerminalDrainSaveData; CombatEquipmentTerminalDrainCanonical,class; enum; interface; struct,ai-decision; event-or-transaction; mutation-boundary-or-orchestration; persistence; read-projection; state-authority-or-registry,transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentTerminalDrainOutbox.cs,services:combat,Services,Combat,runtime,,3,CombatEquipmentTerminalDrainOutbox; State; CheckpointGcCandidate,class,ai-decision; event-or-transaction,dictionary-index; hash-membership; transaction-idempotency,
Assets/Scripts/Services/Combat/CombatEquipmentTerminalDrainSavePayload.cs,services:combat,Services,Combat,runtime,,3,DungeonCombatEquipmentTerminalDrainSaveData; CombatEquipmentTerminalDrainRestoreCandidate; CombatEquipmentTerminalDrainSaveValidation,class,ai-decision; persistence; state-authority-or-registry,,
Assets/Scripts/Services/Combat/CombatEquipmentTerminalDrainSourceAdapter.cs,services:combat,Services,Combat,runtime,,4,ICombatEquipmentTerminalFacilitySourceQuery; ICombatEquipmentTerminalFacilityQuery; CombatEquipmentTerminalFacilityAdapter; CombatEquipmentTerminalDrainSourceAdapter,class; interface,ai-decision; read-projection,,
Assets/Scripts/Services/Combat/CombatEquipmentTerminalSourceAuthorityRouter.cs,services:combat,Services,Combat,runtime,,3,would; CombatEquipmentTerminalSourceAuthorityRouter; CheckpointGcCandidate,class; interface,state-authority-or-registry,,
Assets/Scripts/Services/Combat/CombatGridServices.cs,services:combat,Services,Combat,runtime,,6,CombatCoverServices; CombatLineOfSightResult; ICombatLineOfSightService; ICombatCoverQuery; GridCombatLineOfSightService; GridCombatCoverQuery,class; interface; struct,mutation-boundary-or-orchestration; read-projection,,
Assets/Scripts/Services/Combat/CombatLoadoutPreparationRuntime.cs,services:combat,Services,Combat,runtime,,5,ICombatAmmoResupplyRuntime; ICombatEquipmentPickupRuntime; CombatLoadoutPreparationRuntime; PreparationRequest; ActorPreparationState,class; interface,runtime-support,dictionary-index; hash-membership,
Assets/Scripts/Services/Combat/CombatRejectedRecoveryProjection.cs,services:combat,Services,Combat,runtime,,8,CombatCraftConcreteInputSnapshot; CombatCraftConcreteInputProjection; CombatRejectedRecoveryOutput; CombatRejectedRecoveryProjection; ICombatRejectedRecoveryProjector; CombatRejectedRecoveryProjector; DesiredLine; RemainderLine,class; interface; struct,ai-decision; read-projection,dictionary-index,
Assets/Scripts/Services/Combat/CombatResolutionService.cs,services:combat,Services,Combat,runtime,,4,ICombatRandomSource; UnityCombatRandomSource; ICombatResolutionService; CombatResolutionService,class; interface,mutation-boundary-or-orchestration,,architecture-system:12
Assets/Scripts/Services/Combat/CombatRuntimeStatFactory.cs,services:combat,Services,Combat,runtime,,1,CombatRuntimeStatFactory,class,runtime-support,,
Assets/Scripts/Services/Combat/CombatSaveSections.cs,services:combat,Services,Combat,runtime,,9,CombatEquipmentSaveSection; UnavailableOutputRestoreJoin; EquipmentEvolutionSaveSection; CharacterBodyHealthSaveSection; CharacterMedicalSaveSection; SurgerySaveSection; DefenseTacticalSaveSection; EquipmentMaintenanceSaveSection; CharacterCombatCommandSaveSection,class,ai-decision; mutation-boundary-or-orchestration; persistence; state-authority-or-registry,,
Assets/Scripts/Services/Combat/CombatTacticalModels.cs,services:combat,Services,Combat,runtime,,7,CombatRelationship; CombatParticipantRef; CombatShotTraceOccupant; CombatShotTrace; CombatFiringSolution; ICombatAffiliationService; ICombatFiringSolutionService,enum; interface; struct,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Combat/CombatTacticalOverlayPresenter.cs,services:combat,Services,Combat,runtime,,2,ICombatTacticalOverlayPresenter; CombatTacticalOverlayPresenter,class; interface,player-observation,,
Assets/Scripts/Services/Combat/Diagnostics/CombatEquipmentCraftTerminalAuthorityEditorAccess.cs,services:combat,Services,Combat,runtime,,1,CombatEquipmentCraftTerminalAuthorityEditorAccess,class,state-authority-or-registry,,
Assets/Scripts/Services/Combat/Diagnostics/CombatEquipmentOutputRestorePreflightDebugScenarios.cs,services:combat,Services,Combat,runtime,,4,CombatEquipmentOutputRestorePreflightDebugScenarios; FixedMaximumMassRegistry; RecordingDetachedCapacity; RecordingJoin,class,persistence; state-authority-or-registry; validation,transaction-idempotency,
