source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Services/Debugging/DungeonDebugCharacterCommandProvider.cs,services:debugging,Services,Debugging,runtime,,1,DungeonDebugCharacterCommandProvider,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Debugging/DungeonDebugCommandProviders.cs,services:debugging,Services,Debugging,runtime,,7,DungeonDebugCheatCommandProvider; DungeonDebugEconomyCommandProvider; DungeonDebugItemCommandProvider; DungeonDebugWorkCommandProvider; DungeonDebugSurvivalWildlifeCommandProvider; DungeonDebugDefenseCommandProvider; DungeonDebugOverlayCommandProvider,class,mutation-boundary-or-orchestration; player-observation,,
Assets/Scripts/Services/Debugging/DungeonDebugModels.cs,services:debugging,Services,Debugging,runtime,,12,DungeonDebugCategory; DungeonDebugTargetKind; DungeonDebugTargetSelection; DungeonDebugExecutionContext; IDungeonDebugCommand; IDungeonDebugCommandProvider; IDungeonDebugCommandRegistry; IDungeonDebugRuleQuery; IDungeonDebugRuleRuntime; DisabledDungeonDebugRuleQuery; IDungeonDebugOverlayProvider; DungeonDebugOverlayRenderContext,class; enum; interface,mutation-boundary-or-orchestration; player-observation; read-projection; state-authority-or-registry,,
Assets/Scripts/Services/Debugging/DungeonDebugOverlayController.cs,services:debugging,Services,Debugging,runtime,,5,DungeonDebugDelegateOverlayProvider; DungeonDebugOverlayPresentationDependencies; DungeonDebugOverlayWorldDependencies; DungeonDebugOverlayHazardDependencies; DungeonDebugWorldOverlayController,class,player-observation,,
Assets/Scripts/Services/Debugging/DungeonDebugPaletteUi.cs,services:debugging,Services,Debugging,runtime,,3,DungeonDebugTargetResolver; DungeonDebugTargetingSurface; DungeonDebugPaletteUiController,class,runtime-support,,
Assets/Scripts/Services/Debugging/DungeonDebugPerformanceCommandProvider.cs,services:debugging,Services,Debugging,runtime,,1,DungeonDebugPerformanceCommandProvider,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Debugging/DungeonDebugRuntime.cs,services:debugging,Services,Debugging,runtime,,4,DungeonDebugModeService; DelegateDungeonDebugCommand; DungeonDebugCommandRegistry; DungeonDebugRuleRuntime,class,mutation-boundary-or-orchestration; state-authority-or-registry,dictionary-index; hash-membership,
Assets/Scripts/Services/Debugging/DungeonDebugSaveSection.cs,services:debugging,Services,Debugging,runtime,,1,DungeonDebugSaveSection,class,persistence,,
Assets/Scripts/Services/Debugging/DungeonDebugSceneVisibilityController.cs,services:debugging,Services,Debugging,runtime,,1,DungeonDebugSceneVisibilityController,class,runtime-support,,
Assets/Scripts/Services/Debugging/Editor/DungeonDebugModeDebugScenarios.cs,services:debugging,Services,Debugging,editor-verification,,4,DungeonDebugModeDebugScenarios; FixedCoreSessionRulesProvider; ScenarioSettings; ScenarioGameData,class,editor-verification; validation,,
Assets/Scripts/Services/Debugging/Editor/DungeonDebugModePlayModeVerifier.cs,services:debugging,Services,Debugging,editor-verification,,2,DungeonDebugModePlayModeVerifier; DungeonDebugModeVerificationRunner,class,editor-verification; validation,,
Assets/Scripts/Services/Debugging/Editor/PlayerFairnessDebugScenarios.cs,services:debugging,Services,Debugging,editor-verification,,1,PlayerFairnessDebugScenarios,class,ai-decision; editor-verification; validation,,
