source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Services/Defense/DefenseBurnEffectSO.cs,services:defense,Services,Defense,runtime,,1,DefenseBurnEffectSO,class,runtime-support,,
Assets/Scripts/Services/Defense/DefenseChargeEffectSO.cs,services:defense,Services,Defense,runtime,,1,DefenseChargeEffectSO,class,runtime-support,,
Assets/Scripts/Services/Defense/DefenseCorrosionEffectSO.cs,services:defense,Services,Defense,runtime,,1,DefenseCorrosionEffectSO,class,runtime-support,,
Assets/Scripts/Services/Defense/DefenseDamageEffectSO.cs,services:defense,Services,Defense,runtime,,1,DefenseDamageEffectSO,class,runtime-support,,
Assets/Scripts/Services/Defense/DefenseEffectSO.cs,services:defense,Services,Defense,runtime,,3,DefenseEffectIds; DefenseEffectContext; DefenseEffectSO,class,authored-definition,,
Assets/Scripts/Services/Defense/DefenseFacilityInputOwnerContracts.cs,services:defense,Services,Defense,runtime,,5,DefenseFacilityInputOwnerDescriptor; IDefenseFacilityInputOwnerSource; DefenseFacilityInputOwnerBuildingSource; DefenseFacilityInputOwnerProjection; DefenseFacilityInputOwnerAuthority,class; interface,read-projection; state-authority-or-registry,revision-bound-cache; transaction-idempotency,
Assets/Scripts/Services/Defense/DefenseFacilityInputOwnerLifecycleRuntime.cs,services:defense,Services,Defense,runtime,,2,DefenseFacilityInputOwnerLifecycleRuntime; DefenseFacilityInputOwnerRestoreParticipant,class,persistence; state-authority-or-registry,,
Assets/Scripts/Services/Defense/DefenseFacilityInputOwnerRuntime.cs,services:defense,Services,Defense,runtime,,2,IDefenseFacilityInputOwnerRuntime; DefenseFacilityInputOwnerRuntime,class; interface,runtime-support,dictionary-index,
Assets/Scripts/Services/Defense/DefenseFacilityNetworkRuntime.cs,services:defense,Services,Defense,runtime,,3,DefenseFacilityNetworkSnapshot; IDefenseFacilityNetworkRuntime; DefenseFacilityNetworkRuntime,class; interface,read-projection,,
Assets/Scripts/Services/Defense/DefenseFacilityPhysicalRestoreGuard.cs,services:defense,Services,Defense,runtime,,1,DefenseFacilityPhysicalRestoreGuard,class,persistence; state-authority-or-registry,dictionary-index; transaction-idempotency,
Assets/Scripts/Services/Defense/DefenseFacilityPhysicalTransactionOutbox.cs,services:defense,Services,Defense,runtime,,3,IDefenseFacilityPhysicalItemGateway; DefenseFacilityPhysicalItemGateway; DefenseFacilityPhysicalTransactionOutbox,class; interface,event-or-transaction,transaction-idempotency,
Assets/Scripts/Services/Defense/DefenseFacilityRuntime.cs,services:defense,Services,Defense,runtime,,2,IDefenseFacilityRuntime; DefenseFacilityRuntime,class; interface,runtime-support,transaction-idempotency,architecture-system:13
Assets/Scripts/Services/Defense/DefenseFacilitySaveSection.cs,services:defense,Services,Defense,runtime,,1,DefenseFacilityPersistenceAdapter,class,persistence,,
Assets/Scripts/Services/Defense/DefenseFacilitySystem.cs,services:defense,Services,Defense,runtime,,10,DefenseFacilityGrowthData; DefenseFacilityData; DefenseActivationReport; DefenseActivationSnapshot; DefenseFacilityTriggeredEvent; DefenseFacility; DefenseFacilityResolver; DefenseEffectResolver; DefenseStatusRuntime; DefenseRuntimeStatus,class; struct,event-or-transaction; read-projection,,
Assets/Scripts/Services/Defense/DefenseGuardAttackEffectSO.cs,services:defense,Services,Defense,runtime,,1,DefenseGuardAttackEffectSO,class,runtime-support,,
Assets/Scripts/Services/Defense/DefenseSlowEffectSO.cs,services:defense,Services,Defense,runtime,,1,DefenseSlowEffectSO,class,runtime-support,,
Assets/Scripts/Services/Defense/DefenseStatusRuntimeFactory.cs,services:defense,Services,Defense,runtime,,2,IDefenseStatusRuntimeFactory; DefenseStatusRuntimeFactory,class; interface,runtime-support,,
Assets/Scripts/Services/Defense/DefenseStatusRuntimeService.cs,services:defense,Services,Defense,runtime,,2,IDefenseStatusRuntimeService; DefenseStatusRuntimeService,class; interface,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Defense/Editor/DefenseEffectAssetBuilder.cs,services:defense,Services,Defense,editor-verification,,2,DefenseEffectAssetSpec; DefenseEffectAssetBuilder,class; struct,authored-definition; editor-verification,,
Assets/Scripts/Services/Defense/Editor/DefenseFacilityDebugScenarios.cs,services:defense,Services,Defense,editor-verification,,16,DefenseFacilityDebugScenarios; NoAutomationInfrastructure; FixedWorkAmountCalculator; NoopEquipmentMaintenanceRuntime; DefenseScenarioWorld; StrictDefenseSaveRuntime; TestHallwayOccupant; NoopBlueprintResearchWorkService; NoopStaffDiscontentRuntimeService; NoopFloatingIconFeedbackService; ScenarioWorkGridResolver; NoopWorldInfoClickSelector; NoopOwnerRunLifecycleService; ScenarioMetaProgressionRuntimeReader; CountingDefenseTriggerListener; DebugProbeDefenseEffectSO,class,ai-decision; authored-definition; editor-verification; mutation-boundary-or-orchestration; persistence; validation,hash-membership,
Assets/Scripts/Services/Defense/Editor/DefenseFacilityInputOwnerDebugScenarios.cs,services:defense,Services,Defense,editor-verification,,5,DefenseFacilityInputOwnerDebugScenarios; MutableSource; AuthorityStore; RecordingRelease; FixedMassQuery,class,editor-verification; read-projection; state-authority-or-registry; validation,dictionary-index; revision-bound-cache,
Assets/Scripts/Services/Defense/Editor/DefenseFacilityPhysicalTransactionFixture.cs,services:defense,Services,Defense,editor-verification,,3,DefenseFacilityPhysicalTransactionFixture; CandidateQuery; FixtureGateway,class,editor-verification; read-projection,transaction-idempotency,
Assets/Scripts/Services/Defense/Editor/P1DefenseFacilityAssetBuilder.cs,services:defense,Services,Defense,editor-verification,,2,P1DefenseFacilityAssetBuilder; DefenseAssetSpec,class; struct,authored-definition; editor-verification,dictionary-index,
