source_path,code_system,layer,domain,scope,namespace,declared_symbol_count,declared_symbols,symbol_kinds,architectural_roles,optimization_techniques,architecture_system_ids
Assets/Scripts/Services/Invasion/DefenseBreachRuntimeAdapter.cs,services:invasion,Services,Invasion,runtime,,4,DefenseBreachPlan; IDefenseBreachPlanner; DefenseBreachPlanner; DefenseBreachTargetRuntimeAdapter,class; interface,runtime-support,dictionary-index,architecture-system:13
Assets/Scripts/Services/Invasion/DefenseCombatExecutor.cs,services:invasion,Services,Invasion,runtime,,4,DefenseCombatExecutionResult; IDefenseCombatExecutor; DefenseCombatSupportServices; DefenseCombatExecutor,class; interface; struct,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Invasion/DefenseCombatPresentation.cs,services:invasion,Services,Invasion,runtime,,1,DefenseCombatPresentation,class,runtime-support,,
Assets/Scripts/Services/Invasion/DefenseEngagementCombatRuntime.cs,services:invasion,Services,Invasion,runtime,,1,DefenseEngagementCombatRuntime,class,runtime-support,,
Assets/Scripts/Services/Invasion/DefenseEngagementPersistence.cs,services:invasion,Services,Invasion,runtime,,1,DefenseEngagementPersistence,class,persistence,,
Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs,services:invasion,Services,Invasion,runtime,,1,DefenseEngagementRuntime,class,runtime-support,,architecture-system:13
Assets/Scripts/Services/Invasion/DefenseEngagementRuntimeModels.cs,services:invasion,Services,Invasion,runtime,,5,DefenseEngagement; DefenseRangedSupportAccess; IDefenseEngagementRuntime; IInvasionOwnerEvacuationService; DefenseCombatFormula,class; interface,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Invasion/DefenseEngagementServices.cs,services:invasion,Services,Invasion,runtime,,2,DefenseEngagementWorldServices; DefenseEngagementCombatServices,class,mutation-boundary-or-orchestration,,
Assets/Scripts/Services/Invasion/DefenseEngagementStore.cs,services:invasion,Services,Invasion,runtime,,2,IDefenseEngagementStore; DefenseEngagementStore,class; interface,state-authority-or-registry,hash-membership,
Assets/Scripts/Services/Invasion/DefenseGuardControlRuntime.cs,services:invasion,Services,Invasion,runtime,,1,DefenseGuardControlRuntime,class,runtime-support,dictionary-index,
Assets/Scripts/Services/Invasion/DefenseInterceptPlannerRuntimeAdapter.cs,services:invasion,Services,Invasion,runtime,,1,DefenseInterceptPlanner,class,runtime-support,hash-membership,
Assets/Scripts/Services/Invasion/DefenseRaidAwarenessRuntime.cs,services:invasion,Services,Invasion,runtime,,5,DefenseRaidAwarenessRestoreCandidate; DefenseRaidAwarenessSnapshot; IDefenseRaidAwarenessRuntime; DefenseRaidAwarenessRuntime; RaidRecord,class; interface,ai-decision; persistence; read-projection; state-authority-or-registry,dictionary-index,
Assets/Scripts/Services/Invasion/DefenseRangedPositionPlannerRuntimeAdapter.cs,services:invasion,Services,Invasion,runtime,,1,DefenseRangedPositionPlanner,class,runtime-support,,
Assets/Scripts/Services/Invasion/DefenseRangedSupportRuntime.cs,services:invasion,Services,Invasion,runtime,,1,DefenseRangedSupportRuntime,class,runtime-support,,
Assets/Scripts/Services/Invasion/DungeonDefenseTimeResponseRuntime.cs,services:invasion,Services,Invasion,runtime,,1,DungeonDefenseTimeResponseRuntime,class,runtime-support,,
Assets/Scripts/Services/Invasion/Editor/DefenseEngagementDebugScenarios.cs,services:invasion,Services,Invasion,editor-verification,,2,DefenseEngagementDebugScenarios; TestHallway,class,editor-verification; validation,dictionary-index; hash-membership,
Assets/Scripts/Services/Invasion/Editor/DefenseEngagementPlayModeVerifier.cs,services:invasion,Services,Invasion,editor-verification,,4,DefenseEngagementPlayModeVerifier; PendingRunRequest; PolicyUiRunner; Runner,class; struct,editor-verification,dictionary-index; hash-membership,
Assets/Scripts/Services/Invasion/Editor/InvasionCombatReportDebugScenarios.cs,services:invasion,Services,Invasion,editor-verification,,4,InvasionCombatReportDebugScenarios; CombatReportScenarioWorld; CountingCombatReportListener; CountingEventAlertRequestListener,class,authored-definition; editor-verification; event-or-transaction; validation,,
Assets/Scripts/Services/Invasion/Editor/InvasionDefenseKitSupplyDebugScenarios.cs,services:invasion,Services,Invasion,editor-verification,,3,InvasionDefenseKitSupplyDebugScenarios; EmptyBuildingWorld; RecordingSlots,class,editor-verification; validation,dictionary-index,
Assets/Scripts/Services/Invasion/Editor/InvasionIntruderDebugScenarios.cs,services:invasion,Services,Invasion,editor-verification,,17,InvasionIntruderDebugScenarios; IsolatedInvasionSaveSection; FailOnceSaveSection; LateFailingRestoreParticipant; InvasionLiveProjectionSnapshot; IntruderScenarioWorld; FixedBuildingWorldQuery; FixedOwnerCandidateCatalog; ScenarioOwnerCharacterFactory; ScenarioOwnerRunLifecycleService; TestHallwayOccupant; ScenarioTimeScaleController; NoopInvasionSaveService; PassiveInterfaceProxy; ThrowingVisualRootFactory; TrackingCharacterSpawnObjectFactory; CountingFacilityDamageListener,class,ai-decision; editor-verification; mutation-boundary-or-orchestration; persistence; read-projection; state-authority-or-registry; validation,dictionary-index,
Assets/Scripts/Services/Invasion/Editor/InvasionThreatDebugScenarios.cs,services:invasion,Services,Invasion,editor-verification,,7,InvasionThreatDebugScenarios; FixedWorldSampler; NeutralRunVariableReader; NeutralMetaProgressionReader; CountingThreatWarningListener; CountingInvasionCandidateListener; CountingEventAlertRequestListener,class,authored-definition; editor-verification; event-or-transaction; validation,,
Assets/Scripts/Services/Invasion/InvasionCampaignRuntime.cs,services:invasion,Services,Invasion,runtime,,3,InvasionCampaignSaveData; IInvasionCampaignRuntime; InvasionCampaignRuntime,class; interface,ai-decision; persistence,dictionary-index; hash-membership; transaction-idempotency,
