group,content_type,content_count,outgoing_relation_count,incoming_reference_count,code_consumer_count,exact_id_consumer_count,code_systems,content_csv,fields_csv,outgoing_relations_csv,incoming_relations_csv,code_consumers_csv,type_document
characters-traits,AgeConditionDefinitionSO,6,17,0,8,6,models:species; services:character; views,docs_final/content-db/csv/characters-traits/age-condition.csv,docs_final/content-db/fields/characters-traits/age-condition.csv,docs_final/content-db/relations/characters-traits/age-condition.csv,docs_final/content-db/incoming/characters-traits/age-condition.csv,docs_final/content-db/code-consumers/characters-traits/age-condition.csv,docs_final/content-db/types/characters-traits/age-condition/README.md
combat-health-world,AnatomyConditionLexiconSO,7,10,0,8,7,services:medical,docs_final/content-db/csv/combat-health-world/anatomy-condition-lexicon.csv,docs_final/content-db/fields/combat-health-world/anatomy-condition-lexicon.csv,docs_final/content-db/relations/combat-health-world/anatomy-condition-lexicon.csv,docs_final/content-db/incoming/combat-health-world/anatomy-condition-lexicon.csv,docs_final/content-db/code-consumers/combat-health-world/anatomy-condition-lexicon.csv,docs_final/content-db/types/combat-health-world/anatomy-condition-lexicon/README.md
combat-health-world,AnatomyProfileSO,12,18,0,17,15,models:medical; models:species; services:combat; services:medical,docs_final/content-db/csv/combat-health-world/anatomy-profile.csv,docs_final/content-db/fields/combat-health-world/anatomy-profile.csv,docs_final/content-db/relations/combat-health-world/anatomy-profile.csv,docs_final/content-db/incoming/combat-health-world/anatomy-profile.csv,docs_final/content-db/code-consumers/combat-health-world/anatomy-profile.csv,docs_final/content-db/types/combat-health-world/anatomy-profile/README.md
production-facilities,ApparelDefinitionSO,56,56,0,14,0,services:economy; services:infrastructure; views,docs_final/content-db/csv/production-facilities/apparel.csv,docs_final/content-db/fields/production-facilities/apparel.csv,docs_final/content-db/relations/production-facilities/apparel.csv,docs_final/content-db/incoming/production-facilities/apparel.csv,docs_final/content-db/code-consumers/production-facilities/apparel.csv,docs_final/content-db/types/production-facilities/apparel/README.md
combat-health-world,BattlefieldModifierDefinitionSO,12,0,36,5,0,models:offense; services:offense; services:run,docs_final/content-db/csv/combat-health-world/battlefield-modifier.csv,docs_final/content-db/fields/combat-health-world/battlefield-modifier.csv,docs_final/content-db/relations/combat-health-world/battlefield-modifier.csv,docs_final/content-db/incoming/combat-health-world/battlefield-modifier.csv,docs_final/content-db/code-consumers/combat-health-world/battlefield-modifier.csv,docs_final/content-db/types/combat-health-world/battlefield-modifier/README.md
production-facilities,BuildingSO,419,29,322,132,22,controllers; services:buildings; services:captivity; services:character; services:codex; services:combat; services:debugging; services:defense; services:economy; services:facilityevolution; services:facilityshop; services:grid; services:infrastructure; services:invasion; services:meta; services:offense; services:operation; services:run; services:servicerooms; services:survival; services:synthesis; views,docs_final/content-db/csv/production-facilities/building.csv,docs_final/content-db/fields/production-facilities/building.csv,docs_final/content-db/relations/production-facilities/building.csv,docs_final/content-db/incoming/production-facilities/building.csv,docs_final/content-db/code-consumers/production-facilities/building.csv,docs_final/content-db/types/production-facilities/building/README.md
characters-traits,CareerPositionDefinitionSO,6,0,0,1,0,services:character,docs_final/content-db/csv/characters-traits/career-position.csv,docs_final/content-db/fields/characters-traits/career-position.csv,docs_final/content-db/relations/characters-traits/career-position.csv,docs_final/content-db/incoming/characters-traits/career-position.csv,docs_final/content-db/code-consumers/characters-traits/career-position.csv,docs_final/content-db/types/characters-traits/career-position/README.md
characters-traits,CharacterAmbitionDefinitionSO,18,0,0,4,0,services:character; services:run,docs_final/content-db/csv/characters-traits/character-ambition.csv,docs_final/content-db/fields/characters-traits/character-ambition.csv,docs_final/content-db/relations/characters-traits/character-ambition.csv,docs_final/content-db/incoming/characters-traits/character-ambition.csv,docs_final/content-db/code-consumers/characters-traits/character-ambition.csv,docs_final/content-db/types/characters-traits/character-ambition/README.md
characters-traits,CharacterBackgroundDefinitionSO,12,12,0,4,0,services:character; services:offense,docs_final/content-db/csv/characters-traits/character-background.csv,docs_final/content-db/fields/characters-traits/character-background.csv,docs_final/content-db/relations/characters-traits/character-background.csv,docs_final/content-db/incoming/characters-traits/character-background.csv,docs_final/content-db/code-consumers/characters-traits/character-background.csv,docs_final/content-db/types/characters-traits/character-background/README.md
research-effects,CharacterFunctionalCapacityDefinitionSO,14,0,0,14,14,services:foundation,docs_final/content-db/csv/research-effects/character-functional-capacity.csv,docs_final/content-db/fields/research-effects/character-functional-capacity.csv,docs_final/content-db/relations/research-effects/character-functional-capacity.csv,docs_final/content-db/incoming/research-effects/character-functional-capacity.csv,docs_final/content-db/code-consumers/research-effects/character-functional-capacity.csv,docs_final/content-db/types/research-effects/character-functional-capacity/README.md
research-effects,CharacterPerformanceFormulaDefinitionSO,107,0,0,84,79,services:character; services:combat; services:economy; services:foundation; services:infrastructure; services:invasion; services:items; services:offense; services:survival; views,docs_final/content-db/csv/research-effects/character-performance-formula.csv,docs_final/content-db/fields/research-effects/character-performance-formula.csv,docs_final/content-db/relations/research-effects/character-performance-formula.csv,docs_final/content-db/incoming/research-effects/character-performance-formula.csv,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv,docs_final/content-db/types/research-effects/character-performance-formula/README.md
characters-traits,CharacterSO,15,458,0,52,1,controllers; services:character; services:factions; services:infrastructure; services:invasion; services:offense; services:recruitment; services:run; views,docs_final/content-db/csv/characters-traits/character.csv,docs_final/content-db/fields/characters-traits/character.csv,docs_final/content-db/relations/characters-traits/character.csv,docs_final/content-db/incoming/characters-traits/character.csv,docs_final/content-db/code-consumers/characters-traits/character.csv,docs_final/content-db/types/characters-traits/character/README.md
characters-traits,CharacterSpeciesSO,10,210,15,14,0,models:species; services:character; services:codex; services:economy; services:effects; services:infrastructure; services:medical,docs_final/content-db/csv/characters-traits/character-species.csv,docs_final/content-db/fields/characters-traits/character-species.csv,docs_final/content-db/relations/characters-traits/character-species.csv,docs_final/content-db/incoming/characters-traits/character-species.csv,docs_final/content-db/code-consumers/characters-traits/character-species.csv,docs_final/content-db/types/characters-traits/character-species/README.md
characters-traits,CharacterStartingHistorySO,9,0,0,2,0,models:characters; services:character,docs_final/content-db/csv/characters-traits/character-starting-history.csv,docs_final/content-db/fields/characters-traits/character-starting-history.csv,docs_final/content-db/relations/characters-traits/character-starting-history.csv,docs_final/content-db/incoming/characters-traits/character-starting-history.csv,docs_final/content-db/code-consumers/characters-traits/character-starting-history.csv,docs_final/content-db/types/characters-traits/character-starting-history/README.md
