system_id,system_title,document,link_label,linked_source,target_kind,exists,expanded_code_file_count
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Models/AI/Core/AIBrainPathSearchSession.cs,Assets/Scripts/Models/AI/Core/AIBrainPathSearchSession.cs,code-file,true,1
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Services/Character/AI/AIActionRuntime.cs,Assets/Scripts/Services/Character/AI/AIActionRuntime.cs,code-file,true,1
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Services/Character/AI/AIBrain.cs,Assets/Scripts/Services/Character/AI/AIBrain.cs,code-file,true,1
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Services/Character/AI/AIBrainCandidateCommitter.cs,Assets/Scripts/Services/Character/AI/AIBrainCandidateCommitter.cs,code-file,true,1
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Services/Character/AI/CharacterAiDecisionPipeline.cs,Assets/Scripts/Services/Character/AI/CharacterAiDecisionPipeline.cs,code-file,true,1
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Services/Character/AI/CharacterAiFailureMemory.cs,Assets/Scripts/Services/Character/AI/CharacterAiFailureMemory.cs,code-file,true,1
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Services/Character/AI/CharacterAiPerformanceRecorder.cs,Assets/Scripts/Services/Character/AI/CharacterAiPerformanceRecorder.cs,code-file,true,1
architecture-system:01,캐릭터 AI와 행동 실행,docs_final/architecture/systems/01-character-ai-and-behavior.md,Assets/Scripts/Services/Character/AI/CharacterAiScheduler.cs,Assets/Scripts/Services/Character/AI/CharacterAiScheduler.cs,code-file,true,1
architecture-system:02,"그리드, 공간 질의와 경로 탐색",docs_final/architecture/systems/02-grid-spatial-and-pathfinding.md,Assets/Scripts/Controllers/Grid/System/GridSystemManager.cs,Assets/Scripts/Controllers/Grid/System/GridSystemManager.cs,code-file,true,1
architecture-system:02,"그리드, 공간 질의와 경로 탐색",docs_final/architecture/systems/02-grid-spatial-and-pathfinding.md,Assets/Scripts/Models/Grid/Core/Grid.cs,Assets/Scripts/Models/Grid/Core/Grid.cs,code-file,true,1
architecture-system:02,"그리드, 공간 질의와 경로 탐색",docs_final/architecture/systems/02-grid-spatial-and-pathfinding.md,Assets/Scripts/Models/Grid/Core/GridNavigationCost.cs,Assets/Scripts/Models/Grid/Core/GridNavigationCost.cs,code-file,true,1
architecture-system:02,"그리드, 공간 질의와 경로 탐색",docs_final/architecture/systems/02-grid-spatial-and-pathfinding.md,Assets/Scripts/Models/Grid/Core/GridPathSearchBroker.cs,Assets/Scripts/Models/Grid/Core/GridPathSearchBroker.cs,code-file,true,1
architecture-system:02,"그리드, 공간 질의와 경로 탐색",docs_final/architecture/systems/02-grid-spatial-and-pathfinding.md,Assets/Scripts/Models/Grid/Core/GridSearchWorkspaces.cs,Assets/Scripts/Models/Grid/Core/GridSearchWorkspaces.cs,code-file,true,1
architecture-system:02,"그리드, 공간 질의와 경로 탐색",docs_final/architecture/systems/02-grid-spatial-and-pathfinding.md,Assets/Scripts/Models/Grid/Core/GridTraversalHeuristicIndex.cs,Assets/Scripts/Models/Grid/Core/GridTraversalHeuristicIndex.cs,code-file,true,1
architecture-system:03,"건물 배치, 건설과 방 판정",docs_final/architecture/systems/03-buildings-construction-and-rooms.md,Assets/Scripts/Models/Rooms/Core/RoomDetectionDomain.cs,Assets/Scripts/Models/Rooms/Core/RoomDetectionDomain.cs,code-file,true,1
architecture-system:03,"건물 배치, 건설과 방 판정",docs_final/architecture/systems/03-buildings-construction-and-rooms.md,Assets/Scripts/Models/Rooms/Core/RoomStateRestore.cs,Assets/Scripts/Models/Rooms/Core/RoomStateRestore.cs,code-file,true,1
architecture-system:03,"건물 배치, 건설과 방 판정",docs_final/architecture/systems/03-buildings-construction-and-rooms.md,Assets/Scripts/Services/Buildings/Abilities/BuildingAbility.cs,Assets/Scripts/Services/Buildings/Abilities/BuildingAbility.cs,code-file,true,1
architecture-system:03,"건물 배치, 건설과 방 판정",docs_final/architecture/systems/03-buildings-construction-and-rooms.md,Assets/Scripts/Services/Buildings/SO/BuildingSO.cs,Assets/Scripts/Services/Buildings/SO/BuildingSO.cs,code-file,true,1
architecture-system:03,"건물 배치, 건설과 방 판정",docs_final/architecture/systems/03-buildings-construction-and-rooms.md,Assets/Scripts/Services/Grid/Building/ConstructionSafetyPlanner.cs,Assets/Scripts/Services/Grid/Building/ConstructionSafetyPlanner.cs,code-file,true,1
architecture-system:03,"건물 배치, 건설과 방 판정",docs_final/architecture/systems/03-buildings-construction-and-rooms.md,Assets/Scripts/Services/Grid/Building/ConstructionSite.cs,Assets/Scripts/Services/Grid/Building/ConstructionSite.cs,code-file,true,1
architecture-system:03,"건물 배치, 건설과 방 판정",docs_final/architecture/systems/03-buildings-construction-and-rooms.md,Assets/Scripts/Services/Grid/Building/GridBuildingRuntime.cs,Assets/Scripts/Services/Grid/Building/GridBuildingRuntime.cs,code-file,true,1
architecture-system:04,"작업 주문, 노동 배정과 실행",docs_final/architecture/systems/04-work-orders-and-labor.md,Assets/Scripts/Models/Work/WorkTargetCandidate.cs,Assets/Scripts/Models/Work/WorkTargetCandidate.cs,code-file,true,1
architecture-system:04,"작업 주문, 노동 배정과 실행",docs_final/architecture/systems/04-work-orders-and-labor.md,Assets/Scripts/Models/Work/WorkTypeId.cs,Assets/Scripts/Models/Work/WorkTypeId.cs,code-file,true,1
architecture-system:04,"작업 주문, 노동 배정과 실행",docs_final/architecture/systems/04-work-orders-and-labor.md,Assets/Scripts/Services/Character/Work/WorkExecutionRegistry.cs,Assets/Scripts/Services/Character/Work/WorkExecutionRegistry.cs,code-file,true,1
architecture-system:04,"작업 주문, 노동 배정과 실행",docs_final/architecture/systems/04-work-orders-and-labor.md,Assets/Scripts/Services/Character/Work/WorkOrderAggregateState.cs,Assets/Scripts/Services/Character/Work/WorkOrderAggregateState.cs,code-file,true,1
architecture-system:04,"작업 주문, 노동 배정과 실행",docs_final/architecture/systems/04-work-orders-and-labor.md,Assets/Scripts/Services/Character/Work/WorkOrderMaterialOutbox.cs,Assets/Scripts/Services/Character/Work/WorkOrderMaterialOutbox.cs,code-file,true,1
architecture-system:04,"작업 주문, 노동 배정과 실행",docs_final/architecture/systems/04-work-orders-and-labor.md,Assets/Scripts/Services/Character/Work/WorkTargetSelector.cs,Assets/Scripts/Services/Character/Work/WorkTargetSelector.cs,code-file,true,1
architecture-system:04,"작업 주문, 노동 배정과 실행",docs_final/architecture/systems/04-work-orders-and-labor.md,Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Models/Items/Core/ItemPrimitives.cs,Assets/Scripts/Models/Items/Core/ItemPrimitives.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Models/Items/Core/PhysicalMassContracts.cs,Assets/Scripts/Models/Items/Core/PhysicalMassContracts.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Buildings/WarehouseMassUiFormatter.cs,Assets/Scripts/Services/Buildings/WarehouseMassUiFormatter.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/ApparelPhysicalMassProjector.cs,Assets/Scripts/Services/Items/ApparelPhysicalMassProjector.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/CharacterCarryInventory.cs,Assets/Scripts/Services/Items/CharacterCarryInventory.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/CombatEquipmentPhysicalMassProjector.cs,Assets/Scripts/Services/Items/CombatEquipmentPhysicalMassProjector.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/EquippedApparelPhysicalMassQuery.cs,Assets/Scripts/Services/Items/EquippedApparelPhysicalMassQuery.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/HaulDeliveryIntentRuntime.cs,Assets/Scripts/Services/Items/HaulDeliveryIntentRuntime.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/ItemPileInfoPanel.cs,Assets/Scripts/Services/Items/ItemPileInfoPanel.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/ItemTransferService.cs,Assets/Scripts/Services/Items/ItemTransferService.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/PhysicalItemMassQuery.cs,Assets/Scripts/Services/Items/PhysicalItemMassQuery.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/PhysicalItemsSaveSection.cs,Assets/Scripts/Services/Items/PhysicalItemsSaveSection.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/ProductionPhysicalCustodyDrainOutbox.cs,Assets/Scripts/Services/Items/ProductionPhysicalCustodyDrainOutbox.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/WarehouseMassAdmissionService.cs,Assets/Scripts/Services/Items/WarehouseMassAdmissionService.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/WorldItemHaulPlanningService.cs,Assets/Scripts/Services/Items/WorldItemHaulPlanningService.cs,code-file,true,1
architecture-system:05,"아이템, 재고, 예약과 운반",docs_final/architecture/systems/05-items-inventory-and-hauling.md,Assets/Scripts/Services/Items/WorldItemRepository.cs,Assets/Scripts/Services/Items/WorldItemRepository.cs,code-file,true,1
