kind,slug,title,game_version
character,character-archetype-1,asd,0.0.1v
character,funeral-culture-adventurer,Funeral_Adventurer,0.0.1v
character,funeral-culture-beastkin,Funeral_Beastkin,0.0.1v
character,funeral-culture-demon,Funeral_Demon,0.0.1v
character,funeral-culture-golem,Funeral_Golem,0.0.1v
character,funeral-culture-harpy,Funeral_Harpy,0.0.1v
character,funeral-culture-kobold,Funeral_Kobold,0.0.1v
character,funeral-culture-myconid,Funeral_Myconid,0.0.1v
character,funeral-culture-orc,Funeral_Orc,0.0.1v
character,funeral-culture-slime,Funeral_Slime,0.0.1v
character,funeral-culture-vampire,Funeral_Vampire,0.0.1v
character,life-history-adventurer,Life_Adventurer,0.0.1v
character,life-history-beastkin,Life_Beastkin,0.0.1v
character,life-history-demon,Life_Demon,0.0.1v
character,life-history-golem,Life_Golem,0.0.1v
character,life-history-harpy,Life_Harpy,0.0.1v
character,life-history-kobold,Life_Kobold,0.0.1v
character,life-history-myconid,Life_Myconid,0.0.1v
character,life-history-orc,Life_Orc,0.0.1v
character,life-history-slime,Life_Slime,0.0.1v
character,life-history-vampire,Life_Vampire,0.0.1v
character,reproduction-adventurer,Reproduction_Adventurer,0.0.1v
character,reproduction-beastkin,Reproduction_Beastkin,0.0.1v
character,reproduction-demon,Reproduction_Demon,0.0.1v
character,reproduction-golem,Reproduction_Golem,0.0.1v
character,reproduction-harpy,Reproduction_Harpy,0.0.1v
character,reproduction-kobold,Reproduction_Kobold,0.0.1v
character,reproduction-myconid,Reproduction_Myconid,0.0.1v
character,reproduction-orc,Reproduction_Orc,0.0.1v
character,reproduction-slime,Reproduction_Slime,0.0.1v
character,reproduction-vampire,Reproduction_Vampire,0.0.1v
character,trait-226,가르치는 버릇,0.0.1v
character,trait-415,강심장,0.0.1v
character,heritable-reinforced-joints,강화 관절,0.0.1v
character,history-frontier-farmer,개척 농부,0.0.1v
character,culture-adventurer-frontier,개척자 연맹 문화,0.0.1v
character,trait-255,거리 감각,0.0.1v
character,trait-247,거친 손,0.0.1v
character,proficiency-construction-engineering,건설·공학,0.0.1v
character,trait-509,게으름,0.0.1v
character,ambition-guard-captain,경비대의 신뢰,0.0.1v
character,career-position-guard-captain,경비대장,0.0.1v
character,heritable-dense-bone,고밀도 골격,0.0.1v
character,heritable-rapid-burn,고속 대사,0.0.1v
character,heritable-rapid-repair,고속 면역 복구,0.0.1v
character,heritable-efficient-digestion,고효율 소화,0.0.1v
character,origin-granary-village,곡창 마을,0.0.1v
character,condition-frame-fatigue,골격 피로,0.0.1v
character,characterspecies-9,골렘,0.0.1v
character,trait-216,곱씹는 성격,0.0.1v
character,trait-257,공구 친화,0.0.1v
character,heritable-hollow-bone,공동 골격,0.0.1v
character,origin-workshop-quarter,공방 거리,0.0.1v
character,history-workshop-artisan,공방 장인,0.0.1v
character,background-siege-survivor,공성전 생존자,0.0.1v
character,trait-222,과묵함,0.0.1v
character,trait-513,과식,0.0.1v
character,trait-219,관대한 마음,0.0.1v
character,career-position-steward,관리인,0.0.1v
character,ambition-become-steward,관리인의 자리,0.0.1v
character,heritable-broad-immunity,광범위 면역,0.0.1v
character,background-mine-bondworker,광산 계약노동자,0.0.1v
character,heritable-cross-lineage-tolerance,교차계통 내성,0.0.1v
character,trait-225,규칙 준수자,0.0.1v
character,characterspecies-7,균사인,0.0.1v
character,character-archetype-2,그롬,0.0.1v
character,trait-407,근접 소질,0.0.1v
character,proficiency-melee-combat,근접 전투,0.0.1v
character,trait-302,금단의 도약,0.0.1v
character,trait-512,기다림에 약함,0.0.1v
character,history-records-clerk,기록 서기,0.0.1v
character,ambition-find-origin,기원의 흔적,0.0.1v
character,trait-303,기적의 집도,0.0.1v
character,trait-417,기후 적응,0.0.1v
character,background-guild-apprentice,길드 도제,0.0.1v
character,trait-107,깔끔함,0.0.1v
character,trait-223,꼼꼼함,0.0.1v
character,heritable-dream-reception,꿈 수신,0.0.1v
character,ambition-restore-lineage,끊긴 계보 복원,0.0.1v
character,trait-217,낙천가,0.0.1v
character,trait-506,낯가림,0.0.1v
character,trait-109,내한성 점액,0.0.1v
character,culture-harpy-aerie,높은 둥지 문화,0.0.1v
character,trait-258,눈앞 집중,0.0.1v
character,heritable-slow-fertility,느린 가임 주기,0.0.1v
character,trait-208,느린 대사,0.0.1v
character,trait-516,느린 습득,0.0.1v
character,ambition-mentor-generation,다음 세대의 스승,0.0.1v
character,trait-210,단맛 탐닉,0.0.1v
character,background-caravan-artisan,대상단 수공업자,0.0.1v
character,origin-caravan-city,대상로 도시,0.0.1v
character,trait-101,대식가,0.0.1v
character,ambition-master-smith,대장장이의 대가,0.0.1v
character,trait-518,더위 취약,0.0.1v
character,festival-dungeon-accord-day,던전 협약 기념일,0.0.1v
character,characterspecies-5,데몬,0.0.1v
character,culture-kobold-toolclan,도구씨족 문화,0.0.1v
character,festival-tool-clan-fair,도구씨족 품평회,0.0.1v
character,heritable-toxin-filter,독소 여과 기관,0.0.1v
character,character-archetype-2001,돌파형 침입자,0.0.1v
character,ambition-faction-champion,동맹의 방패,0.0.1v
character,ambition-faction-peacemaker,두 깃발의 중재자,0.0.1v
character,trait-510,둔한 발,0.0.1v
character,trait-500,들일 둔감,0.0.1v
character,trait-400,들일 소질,0.0.1v
character,trait-209,뜨거운 피,0.0.1v
character,character-archetype-9004,라카,0.0.1v
character,condition-rune-circuit-wear,룬 회로 마모,0.0.1v
character,heritable-rune-sight,룬시,0.0.1v
character,heritable-mana-reservoir,마나 저장낭,0.0.1v
character,heritable-mana-grounding,마나 접지맥,0.0.1v
character,trait-306,마력 과충전,0.0.1v
character,festival-clear-confluence,맑은 합류제,0.0.1v
character,career-position-mentor,멘토,0.0.1v
character,ambition-build-clinic,모두를 위한 진료소,0.0.1v
character,character-archetype-9007,모르,0.0.1v
character,trait-507,몸싸움 서툼,0.0.1v
character,culture-orc-vigil,무기 철야 문화,0.0.1v
character,festival-weapon-vigil,무기 철야제,0.0.1v
character,festival-pack-first-hunt,무리의 첫사냥,0.0.1v
character,culture-beastkin-pack,무리의 화로 문화,0.0.1v
character,ambition-cultural-voice,문화의 대변자,0.0.1v
character,ambition-break-debt,물려받은 빚 청산,0.0.1v
character,trait-410,민첩함,0.0.1v
character,ambition-worthy-guardian,믿을 만한 보호자,0.0.1v
character,character-archetype-9009,바살트-7,0.0.1v
character,culture-vampire-nightcourt,밤궁정 문화,0.0.1v
character,characterspecies-3,뱀파이어,0.0.1v
character,character-archetype-1003,뱀파이어 사장,0.0.1v
character,origin-frontier,변방 개척지,0.0.1v
character,background-archive-caretaker,봉인 기록고지기,0.0.1v
character,trait-103,부자,0.0.1v
character,trait-511,부주의,0.0.1v
character,trait-409,부지런함,0.0.1v
character,trait-220,불안한 계획가,0.0.1v
character,trait-253,붙임성,0.0.1v
character,ambition-end-hunger,빈 식탁 없는 겨울,0.0.1v
character,trait-416,빠른 습득,0.0.1v
character,trait-230,빠른 학습자,0.0.1v
character,trait-207,빠른 회복,0.0.1v
character,trait-508,사격 서툼,0.0.1v
character,trait-408,사격 소질,0.0.1v
character,proficiency-social,사교,0.0.1v
character,trait-406,사교 소질,0.0.1v
character,trait-301,사선 각성,0.0.1v
character,trait-514,산만함,0.0.1v
character,history-caravan-broker,상단 중개인,0.0.1v
character,history-mason,석공,0.0.1v
character,trait-203,섬세한 체격,0.0.1v
character,trait-104,성급함,0.0.1v
character,trait-249,세공 감각,0.0.1v
character,character-archetype-3,세라,0.0.1v
character,character-archetype-9008,세라,0.0.1v
character,trait-214,소금 갈망,0.0.1v
character,trait-413,소식가,0.0.1v
character,trait-105,소심함,0.0.1v
character,background-tenant-farmer,소작농의 자식,0.0.1v
character,trait-250,손맛,0.0.1v
character,trait-259,수다쟁이,0.0.1v
character,background-monastery-novice,수도원 수련자,0.0.1v
character,heritable-water-retention,수분 보존 조직,0.0.1v
character,history-garrison-guard,수비대원,0.0.1v
character,career-position-chief-researcher,수석 연구원,0.0.1v
character,career-position-chief-physician,수석 의사,0.0.1v
character,characterspecies-4,수인,0.0.1v
character,trait-251,숫자만 믿음,0.0.1v
character,characterspecies-1,슬라임,0.0.1v
character,character-archetype-1001,슬라임 사장,0.0.1v
character,trait-501,시공 서툼,0.0.1v
character,trait-401,시공 소질,0.0.1v
character,proficiency-food-production,식량 생산,0.0.1v
character,condition-age-neural-degeneration,신경 기능 퇴행,0.0.1v
character,trait-300,신들린 영감,0.0.1v
character,origin-temple-hospice,신전 구호소,0.0.1v
character,trait-252,신중한 손,0.0.1v
character,trait-411,신중함,0.0.1v
character,condition-age-cardiac-degeneration,심장 기능 퇴행,0.0.1v
character,ambition-map-depths,심층의 끝,0.0.1v
character,trait-106,싸움꾼,0.0.1v
character,ambition-avenge-fallen,쓰러진 이의 이름,0.0.1v
character,character-archetype-9005,아자라,0.0.1v
character,ambition-raise-family,안전한 가족,0.0.1v
character,heritable-stable-gestation,안정 임신,0.0.1v
character,trait-202,안정된 발놀림,0.0.1v
character,trait-228,야간 체질,0.0.1v
character,history-field-medic,야전 치료사,0.0.1v
character,trait-239,양심 결여,0.0.1v
character,trait-201,얕은 잠,0.0.1v
character,background-inn-servant,여관 심부름꾼,0.0.1v
character,trait-108,연구가,0.0.1v
character,festival-many-tables,열 문화의 식탁,0.0.1v
character,heritable-heat-shedding,열 배출 피부,0.0.1v
character,festival-open-sky-chorus,열린 하늘 합창,0.0.1v
character,trait-205,예민한 감각,0.0.1v
character,trait-204,오래된 흉터,0.0.1v
character,characterspecies-2,오크,0.0.1v
character,character-archetype-1002,오크 사장,0.0.1v
character,trait-212,온도 민감,0.0.1v
character,trait-254,완력 의존,0.0.1v
character,heritable-slow-aging,완만한 노화,0.0.1v
character,proficiency-ranged-combat,원거리 전투,0.0.1v
character,characterspecies-10,원정자,0.0.1v
character,trait-218,원한을 품음,0.0.1v
character,heritable-flexible-joints,유연 관절,0.0.1v
character,trait-206,육중한 체격,0.0.1v
character,proficiency-medicine,의료,0.0.1v
character,trait-505,의료 서툼,0.0.1v
character,trait-405,의료 소질,0.0.1v
character,trait-213,의식 단식가,0.0.1v
character,background-ritual-test-subject,의식 실험 생존자,0.0.1v
character,trait-412,인내심,0.0.1v
character,character-archetype-1101,일반 직원,0.0.1v
character,trait-221,자극 추구자,0.0.1v
character,career-position-foreman,작업반장,0.0.1v
character,condition-age-organ-fibrosis,장기 섬유화,0.0.1v
character,heritable-regrowing-tissue,재생 조직,0.0.1v
character,culture-demon-contract,재의 계약 문화,0.0.1v
character,festival-ash-oath,재의 맹세일,0.0.1v
character,heritable-cold-blood-adaptation,저온 대사 적응,0.0.1v
character,trait-515,전투 소극적,0.0.1v
character,trait-102,절약가,0.0.1v
character,history-scout,정찰수,0.0.1v
character,proficiency-crafting,제작,0.0.1v
character,trait-502,제작 서툼,0.0.1v
character,trait-402,제작 소질,0.0.1v
character,history-cook,조리 담당,0.0.1v
character,trait-503,조리 서툼,0.0.1v
character,trait-403,조리 소질,0.0.1v
character,ambition-master-healer,죽음을 늦추는 손,0.0.1v
character,trait-224,즉흥 제작자,0.0.1v
character,trait-200,지구력,0.0.1v
character,festival-frontier-map-night,지도에 불을 밝히는 밤,0.0.1v
character,heritable-focused-antibodies,집중 항체,0.0.1v
character,trait-414,집중력,0.0.1v
character,origin-quarry-commune,채석 공동체,0.0.1v
character,trait-256,채집 눈썰미,0.0.1v
character,trait-245,청소 강박,0.0.1v
character,trait-235,체면 중시,0.0.1v
character,background-exiled-heir,추방된 후계자,0.0.1v
character,trait-517,추위 취약,0.0.1v
character,trait-215,침착함,0.0.1v
character,characterspecies-6,코볼트,0.0.1v
character,background-deserter,탈영병,0.0.1v
character,trait-211,튼튼한 위장,0.0.1v
character,character-archetype-9006,티크,0.0.1v
character,festival-spore-bloom,포자 개화제,0.0.1v
character,culture-myconid-grove,포자정원 문화,0.0.1v
character,trait-229,품질 자부심,0.0.1v
character,heritable-abundant-seed,풍부한 종자,0.0.1v
character,background-camp-refugee,피난 행렬 출신,0.0.1v
character,characterspecies-8,하피,0.0.1v
character,trait-504,학문 둔감,0.0.1v
character,proficiency-scholarship,학술,0.0.1v
character,trait-404,학술 소질,0.0.1v
character,trait-305,한계 돌파,0.0.1v
character,culture-slime-confluence,합류수 문화,0.0.1v
character,culture-golem-core,핵 공명 문화,0.0.1v
character,festival-core-resonance,핵 공명일,0.0.1v
character,condition-core-corrosion,핵 부식,0.0.1v
character,trait-248,현장 시공 감각,0.0.1v
character,proficiency-fieldwork,현장 작업,0.0.1v
character,ambition-field-scholar,현장 학자의 증명,0.0.1v
character,festival-blood-lantern,혈향 등불제,0.0.1v
character,heritable-expanded-lung,확장 폐낭,0.0.1v
character,trait-304,황금 수확,0.0.1v
character,trait-227,회수 전문가,0.0.1v
combat,apparel-23004,가슴 감개,0.0.1v
combat,equipment-item-armor-leather,가죽 갑옷,0.0.1v
combat,equipment-item-armor-leather-cap,가죽 모자,0.0.1v
combat,module-shield-reinforced-rim,강화 테두리,0.0.1v
combat,equipment-item-armor-hardened-leather-coat,경화 가죽 외투,0.0.1v
combat,apparel-23043,계약 어깨띠,0.0.1v
combat,module-shield-anchor-core,고정 핵,0.0.1v
combat,apparel-23010,골렘 기능성 내피,0.0.1v
combat,equipment-item-weapon-siege-arbalest,공성 쇠뇌,0.0.1v
combat,equipment-item-armor-articulated-plate,관절식 판금갑,0.0.1v
combat,module-weapon-penetrator,관통 촉,0.0.1v
combat,apparel-23033,광부 작업복,0.0.1v
combat,equipment-item-weapon-windlass-crossbow,권양 석궁,0.0.1v
combat,module-weapon-balanced-core,균형 심재,0.0.1v
combat,module-armor-mobility-joint,기동 관절,0.0.1v
combat,apparel-23052,꼬리 리본,0.0.1v
combat,apparel-23053,꼬리 보호대,0.0.1v
combat,equipment-item-shield-wood,나무 방패,0.0.1v
combat,apparel-23056,날개 망토,0.0.1v
combat,apparel-23055,날개 멜빵,0.0.1v
combat,module-weapon-endurance-binding,내구 결속,0.0.1v
combat,apparel-23027,내열 작업복,0.0.1v
combat,apparel-23005,내의 바지,0.0.1v
combat,apparel-23035,농부 작업복,0.0.1v
combat,equipment-item-armor-padded-hood,누비 두건,0.0.1v
combat,equipment-item-armor-gambeson,누비옷,0.0.1v
combat,equipment-item-weapon-dagger,단검,0.0.1v
combat,equipment-item-weapon-shortbow,단궁,0.0.1v
combat,equipment-item-weapon-greatsword,대검,0.0.1v
combat,apparel-23034,대장장이 앞치마,0.0.1v
combat,equipment-item-shield-tower,대형 방패,0.0.1v
combat,equipment-item-shield-powered,동력 방패,0.0.1v
combat,equipment-item-armor-powered-harness,동력 보조 갑주,0.0.1v
combat,equipment-item-weapon-powered-striking-gauntlet,동력 타격장갑,0.0.1v
combat,equipment-item-shield-rune,룬 방패,0.0.1v
combat,apparel-23026,룬 방한복,0.0.1v
combat,workwear-rune-cold-suit,룬 방한복,0.0.1v
combat,equipment-item-armor-rune-ward-mail,룬 수호 사슬갑옷,0.0.1v
combat,module-armor-rune-ward,룬 수호편,0.0.1v
combat,equipment-item-weapon-rune-bow,룬 활,0.0.1v
combat,equipment-item-weapon-rune-blade,룬검,0.0.1v
combat,module-weapon-mana-conduit,마나 도관,0.0.1v
combat,equipment-item-weapon-mana-lance,마나 랜스,0.0.1v
combat,equipment-item-shield-mana-buckler,마나 버클러,0.0.1v
combat,apparel-23021,망토,0.0.1v
combat,apparel-23050,모자,0.0.1v
combat,apparel-23051,목도리,0.0.1v
combat,apparel-23031,무균 가운,0.0.1v
combat,apparel-23044,무기 철야 망토,0.0.1v
combat,apparel-23014,바지,0.0.1v
combat,apparel-23016,반바지,0.0.1v
combat,equipment-item-weapon-repeating-crossbow,반복 석궁,0.0.1v
combat,apparel-23007,발싸개,0.0.1v
combat,apparel-23028,방수 작업복,0.0.1v
combat,equipment-item-armor-blast-coat,방폭 외투,0.0.1v
combat,apparel-23025,방한 작업복,0.0.1v
combat,workwear-cold-work-suit,방한 작업복,0.0.1v
combat,equipment-item-shield-buckler,버클러,0.0.1v
combat,apparel-23024,보온 점액 패드,0.0.1v
combat,workwear-slime-warming-pad,보온 점액 패드,0.0.1v
combat,equipment-item-weapon-composite-bow,복합궁,0.0.1v
combat,equipment-item-armor-brigandine,브리간딘,0.0.1v
combat,apparel-23012,블라우스,0.0.1v
combat,equipment-item-armor-scale-coat,비늘 외투,0.0.1v
combat,apparel-23054,뿔 고리,0.0.1v
combat,equipment-item-armor-mail-shirt,사슬 갑옷,0.0.1v
combat,equipment-item-armor-mail-coif,사슬 두건,0.0.1v
combat,apparel-23036,사육사 외투,0.0.1v
combat,apparel-23042,사절 외투,0.0.1v
combat,equipment-item-weapon-shotgun,산탄총,0.0.1v
combat,apparel-23040,상복,0.0.1v
combat,equipment-item-weapon-crossbow,석궁,0.0.1v
combat,module-weapon-quick-action,속동 기구,0.0.1v
